# simulated lambda of project "project.tab"
# date: 2024-05-20T21:45:01-03:00
tree	lambda
paleogene-fast-0	4.702036
paleogene-fast-1	9.387198
paleogene-fast-10	7.885269
paleogene-fast-11	1.099244
paleogene-fast-12	2.448692
paleogene-fast-13	5.627857
paleogene-fast-14	9.603196
paleogene-fast-15	8.318018
paleogene-fast-16	8.927133
paleogene-fast-17	9.138198
paleogene-fast-18	1.683750
paleogene-fast-19	4.757929
paleogene-fast-2	6.355663
paleogene-fast-20	7.983941
paleogene-fast-21	6.768373
paleogene-fast-22	8.991130
paleogene-fast-23	8.295185
paleogene-fast-24	5.179807
paleogene-fast-25	8.968421
paleogene-fast-26	2.318583
paleogene-fast-27	8.592583
paleogene-fast-28	3.835622
paleogene-fast-29	3.150515
paleogene-fast-3	7.664966
paleogene-fast-30	3.319279
paleogene-fast-31	5.484302
paleogene-fast-32	7.107448
paleogene-fast-33	5.612043
paleogene-fast-34	4.179114
paleogene-fast-35	1.169132
paleogene-fast-36	4.431709
paleogene-fast-37	8.442754
paleogene-fast-38	7.210853
paleogene-fast-39	3.866584
paleogene-fast-4	5.911965
paleogene-fast-40	8.542176
paleogene-fast-41	3.258294
paleogene-fast-42	8.154450
paleogene-fast-43	9.616730
paleogene-fast-44	3.611950
paleogene-fast-45	9.687716
paleogene-fast-46	6.740078
paleogene-fast-47	2.986877
paleogene-fast-48	2.857169
paleogene-fast-49	1.550216
paleogene-fast-5	1.869704
paleogene-fast-6	6.993513
paleogene-fast-7	5.388261
paleogene-fast-8	1.929810
paleogene-fast-9	8.970160
