# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:45:01-03:00
tree	node	parent	age	taxon
paleogene-fast-0	0	-1	54820883	
paleogene-fast-0	1	0	43196694	
paleogene-fast-0	2	1	24177801	
paleogene-fast-0	3	2	0	Term52
paleogene-fast-0	4	2	2412053	
paleogene-fast-0	5	4	0	Term50
paleogene-fast-0	6	4	0	Term51
paleogene-fast-0	7	1	19139153	
paleogene-fast-0	8	7	5861292	
paleogene-fast-0	9	8	0	Term59
paleogene-fast-0	10	8	0	Term60
paleogene-fast-0	11	7	16389901	
paleogene-fast-0	12	11	0	Term58
paleogene-fast-0	13	11	15611076	
paleogene-fast-0	14	13	0	Term57
paleogene-fast-0	15	13	11565748	
paleogene-fast-0	16	15	11167359	
paleogene-fast-0	17	16	0	Term55
paleogene-fast-0	18	16	0	Term56
paleogene-fast-0	19	15	4649227	
paleogene-fast-0	20	19	0	Term53
paleogene-fast-0	21	19	0	Term54
paleogene-fast-0	22	0	49049962	
paleogene-fast-0	23	22	43601149	
paleogene-fast-0	24	23	0	Term34
paleogene-fast-0	25	23	36842975	
paleogene-fast-0	26	25	21047822	
paleogene-fast-0	27	26	2382713	
paleogene-fast-0	28	27	0	Term48
paleogene-fast-0	29	27	0	Term49
paleogene-fast-0	30	26	11443611	
paleogene-fast-0	31	30	0	Term47
paleogene-fast-0	32	30	3325600	
paleogene-fast-0	33	32	0	Term45
paleogene-fast-0	34	32	0	Term46
paleogene-fast-0	35	25	27097757	
paleogene-fast-0	36	35	25692412	
paleogene-fast-0	37	36	13108438	
paleogene-fast-0	38	37	0	Term40
paleogene-fast-0	39	37	0	Term41
paleogene-fast-0	40	36	24513264	
paleogene-fast-0	41	40	0	Term44
paleogene-fast-0	42	40	3238843	
paleogene-fast-0	43	42	0	Term42
paleogene-fast-0	44	42	0	Term43
paleogene-fast-0	45	35	22195447	
paleogene-fast-0	46	45	0	Term39
paleogene-fast-0	47	45	5974119	
paleogene-fast-0	48	47	4490676	
paleogene-fast-0	49	48	0	Term37
paleogene-fast-0	50	48	0	Term38
paleogene-fast-0	51	47	4253110	
paleogene-fast-0	52	51	0	Term35
paleogene-fast-0	53	51	0	Term36
paleogene-fast-0	54	22	41373878	
paleogene-fast-0	55	54	29476615	
paleogene-fast-0	56	55	5290228	
paleogene-fast-0	57	56	0	Term5
paleogene-fast-0	58	56	0	Term6
paleogene-fast-0	59	55	23269052	
paleogene-fast-0	60	59	0	Term4
paleogene-fast-0	61	59	15957983	
paleogene-fast-0	62	61	0	Term3
paleogene-fast-0	63	61	6350174	
paleogene-fast-0	64	63	0	Term0
paleogene-fast-0	65	63	4452105	
paleogene-fast-0	66	65	0	Term1
paleogene-fast-0	67	65	0	Term2
paleogene-fast-0	68	54	36886368	
paleogene-fast-0	69	68	28342228	
paleogene-fast-0	70	69	12939403	
paleogene-fast-0	71	70	0	Term24
paleogene-fast-0	72	70	4325480	
paleogene-fast-0	73	72	0	Term25
paleogene-fast-0	74	72	0	Term26
paleogene-fast-0	75	69	21551695	
paleogene-fast-0	76	75	9835712	
paleogene-fast-0	77	76	0	Term27
