# results from simulated data from project "project.tab"
# date: 2024-05-22T16:18:37-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-slow-0	87	52.898	312.643215	756.738281
paleogene-slow-1	98	45.884	960.288177	3209.375000
paleogene-slow-10	89	34.852	847.175753	3388.085938
paleogene-slow-11	87	50.973	241.022108	476.953125
paleogene-slow-12	84	47.811	338.831369	588.281250
paleogene-slow-13	98	37.512	473.506374	1808.496094
paleogene-slow-14	94	24.576	783.389404	3140.527344
paleogene-slow-15	76	48.430	234.042216	602.929688
paleogene-slow-16	93	37.627	691.284670	1773.339844
paleogene-slow-17	63	28.940	323.010566	729.394531
paleogene-slow-18	89	25.338	116.767273	299.707031
paleogene-slow-19	67	31.841	335.609242	691.308594
paleogene-slow-2	73	55.629	661.355961	2223.535156
paleogene-slow-20	62	59.847	996.402737	4445.214844
paleogene-slow-21	63	43.585	625.164556	1282.128906
paleogene-slow-22	100	37.168	547.029205	1695.703125
paleogene-slow-23	74	62.258	917.934827	2883.203125
paleogene-slow-24	71	60.186	899.236612	1712.304688
paleogene-slow-25	75	44.221	967.257213	3900.292969
paleogene-slow-26	93	61.217	160.745705	323.632812
paleogene-slow-27	51	25.255	214.699068	388.574219
paleogene-slow-28	70	52.396	251.494084	620.996094
paleogene-slow-29	77	29.478	689.695620	5127.832031
paleogene-slow-3	70	41.355	870.029679	2794.335938
paleogene-slow-30	82	58.794	914.382251	3537.500000
paleogene-slow-31	67	26.507	627.897483	2657.617188
paleogene-slow-32	50	54.162	980.087906	2576.074219
paleogene-slow-33	75	58.925	477.016032	865.625000
paleogene-slow-34	74	31.446	673.265551	3821.191406
paleogene-slow-35	76	63.177	275.406531	478.906250
paleogene-slow-36	58	47.840	539.145958	946.679688
paleogene-slow-37	67	45.788	544.079131	1973.046875
paleogene-slow-38	54	51.179	190.387800	263.085938
paleogene-slow-39	99	24.824	658.114581	3114.648438
paleogene-slow-4	79	33.624	157.755316	266.503906
paleogene-slow-40	89	46.694	906.921020	2694.238281
paleogene-slow-41	92	41.919	789.390283	2893.457031
paleogene-slow-42	76	54.739	591.717500	2225.488281
paleogene-slow-43	94	56.135	640.819266	1579.980469
paleogene-slow-44	90	34.516	130.247631	201.562500
paleogene-slow-45	95	34.388	832.733467	3100.488281
paleogene-slow-46	81	28.520	565.171703	2471.582031
paleogene-slow-47	69	26.717	905.460671	5061.425781
paleogene-slow-48	57	50.043	441.103103	1288.964844
paleogene-slow-49	97	55.025	584.568772	1251.855469
paleogene-slow-5	71	38.507	661.333774	1604.882812
paleogene-slow-6	52	25.520	969.411098	5271.875000
paleogene-slow-7	68	37.804	904.616831	5749.414062
paleogene-slow-8	58	35.877	636.667830	1949.609375
paleogene-slow-9	57	28.492	531.371215	1683.007812
