# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:42:08-03:00
tree	node	parent	age	taxon
paleogene-slow-0	0	-1	52897920	
paleogene-slow-0	1	0	33409279	
paleogene-slow-0	2	1	21160253	
paleogene-slow-0	3	2	17147274	
paleogene-slow-0	4	3	0	Term59
paleogene-slow-0	5	3	16884870	
paleogene-slow-0	6	5	0	Term56
paleogene-slow-0	7	5	11171108	
paleogene-slow-0	8	7	0	Term57
paleogene-slow-0	9	7	0	Term58
paleogene-slow-0	10	2	8053892	
paleogene-slow-0	11	10	1531992	
paleogene-slow-0	12	11	0	Term66
paleogene-slow-0	13	11	0	Term67
paleogene-slow-0	14	10	7831129	
paleogene-slow-0	15	14	0	Term65
paleogene-slow-0	16	14	7378393	
paleogene-slow-0	17	16	2555418	
paleogene-slow-0	18	17	0	Term60
paleogene-slow-0	19	17	0	Term61
paleogene-slow-0	20	16	4246816	
paleogene-slow-0	21	20	0	Term64
paleogene-slow-0	22	20	2793802	
paleogene-slow-0	23	22	0	Term62
paleogene-slow-0	24	22	0	Term63
paleogene-slow-0	25	1	29313431	
paleogene-slow-0	26	25	14156509	
paleogene-slow-0	27	26	5076464	
paleogene-slow-0	28	27	0	Term71
paleogene-slow-0	29	27	0	Term72
paleogene-slow-0	30	26	10874441	
paleogene-slow-0	31	30	0	Term70
paleogene-slow-0	32	30	7765701	
paleogene-slow-0	33	32	0	Term68
paleogene-slow-0	34	32	0	Term69
paleogene-slow-0	35	25	28626821	
paleogene-slow-0	36	35	0	Term73
paleogene-slow-0	37	35	25557967	
paleogene-slow-0	38	37	20428487	
paleogene-slow-0	39	38	10438568	
paleogene-slow-0	40	39	0	Term74
paleogene-slow-0	41	39	0	Term75
paleogene-slow-0	42	38	15609955	
paleogene-slow-0	43	42	0	Term78
paleogene-slow-0	44	42	14975379	
paleogene-slow-0	45	44	0	Term76
paleogene-slow-0	46	44	0	Term77
paleogene-slow-0	47	37	18381223	
paleogene-slow-0	48	47	5254815	
paleogene-slow-0	49	48	0	Term79
paleogene-slow-0	50	48	0	Term80
paleogene-slow-0	51	47	14535683	
paleogene-slow-0	52	51	0	Term86
paleogene-slow-0	53	51	7989752	
paleogene-slow-0	54	53	0	Term81
paleogene-slow-0	55	53	7189103	
paleogene-slow-0	56	55	0	Term82
paleogene-slow-0	57	55	6810478	
paleogene-slow-0	58	57	0	Term83
paleogene-slow-0	59	57	4989070	
paleogene-slow-0	60	59	0	Term84
paleogene-slow-0	61	59	0	Term85
paleogene-slow-0	62	0	51954412	
paleogene-slow-0	63	62	1249165	
paleogene-slow-0	64	63	0	Term0
paleogene-slow-0	65	63	0	Term1
paleogene-slow-0	66	62	49408252	
paleogene-slow-0	67	66	48739797	
paleogene-slow-0	68	67	41881856	
paleogene-slow-0	69	68	0	Term13
paleogene-slow-0	70	68	13220216	
paleogene-slow-0	71	70	0	Term14
paleogene-slow-0	72	70	3058995	
paleogene-slow-0	73	72	0	Term15
paleogene-slow-0	74	72	969279	
paleogene-slow-0	75	74	0	Term18
paleogene-slow-0	76	74	820821	
paleogene-slow-0	77	76	0	Term16
paleogene-slow-0	78	76	0	Term17
paleogene-slow-0	79	67	19873208	
paleogene-slow-0	80	79	0	Term12
paleogene-slow-0	81	79	17805077	
paleogene-slow-0	82	81	9018886	
paleogene-slow-0	83	82	0	Term2
paleogene-slow-0	84	82	4417601	
paleogene-slow-0	85	84	0	Term3
paleogene-slow-0	86	84	0	Term4
paleogene-slow-0	87	81	17332387	
paleogene-slow-0	88	87	11906607	
paleogene-slow-0	89	88	0	Term7
paleogene-slow-0	90	88	8067218	
paleogene-slow-0	91	90	0	Term5
paleogene-slow-0	92	90	0	Term6
paleogene-slow-0	93	87	4173950	
paleogene-slow-0	94	93	3041200	
paleogene-slow-0	95	94	0	Term8
paleogene-slow-0	96	94	0	Term9
paleogene-slow-0	97	93	736487	
paleogene-slow-0	98	97	0	Term10
paleogene-slow-0	99	97	0	Term11
paleogene-slow-0	100	66	36199475	
paleogene-slow-0	101	100	19550170	
paleogene-slow-0	102	101	0	Term19
paleogene-slow-0	103	101	10901697	
paleogene-slow-0	104	103	0	Term20
paleogene-slow-0	105	103	4197758	
paleogene-slow-0	106	105	0	Term21
paleogene-slow-0	107	105	0	Term22
paleogene-slow-0	108	100	34023548	
paleogene-slow-0	109	108	8465667	
paleogene-slow-0	110	109	0	Term53
paleogene-slow-0	111	109	4165256	
paleogene-slow-0	112	111	0	Term54
paleogene-slow-0	113	111	0	Term55
paleogene-slow-0	114	108	25820554	
paleogene-slow-0	115	114	18670136	
paleogene-slow-0	116	115	11592440	
paleogene-slow-0	117	116	0	Term28
paleogene-slow-0	118	116	2180299	
paleogene-slow-0	119	118	0	Term29
paleogene-slow-0	120	118	0	Term30
paleogene-slow-0	121	115	7880638	
paleogene-slow-0	122	121	2534332	
paleogene-slow-0	123	122	0	Term26
paleogene-slow-0	124	122	0	Term27
paleogene-slow-0	125	121	5498998	
paleogene-slow-0	126	125	0	Term23
paleogene-slow-0	127	125	4260184	
paleogene-slow-0	128	127	0	Term24
paleogene-slow-0	129	127	0	Term25
paleogene-slow-0	130	114	24191492	
paleogene-slow-0	131	130	0	Term52
paleogene-slow-0	132	130	22078836	
paleogene-slow-0	133	132	0	Term31
paleogene-slow-0	134	132	17512413	
paleogene-slow-0	135	134	6145514	
paleogene-slow-0	136	135	2552918	
paleogene-slow-0	137	136	0	Term32
paleogene-slow-0	138	136	0	Term33
paleogene-slow-0	139	135	509822	
paleogene-slow-0	140	139	0	Term34
paleogene-slow-0	141	139	0	Term35
paleogene-slow-0	142	134	15454148	
paleogene-slow-0	143	142	11687000	
paleogene-slow-0	144	143	6181669	
paleogene-slow-0	145	144	0	Term45
paleogene-slow-0	146	144	0	Term46
paleogene-slow-0	147	143	11307991	
paleogene-slow-0	148	147	2044835	
paleogene-slow-0	149	148	0	Term47
paleogene-slow-0	150	148	0	Term48
paleogene-slow-0	151	147	7923849	
paleogene-slow-0	152	151	0	Term51
paleogene-slow-0	153	151	669261	
paleogene-slow-0	154	153	0	Term49
paleogene-slow-0	155	153	0	Term50
paleogene-slow-0	156	142	15004669	
paleogene-slow-0	157	156	0	Term36
paleogene-slow-0	158	156	11286337	
paleogene-slow-0	159	158	9280804	
paleogene-slow-0	160	159	0	Term37
paleogene-slow-0	161	159	0	Term38
paleogene-slow-0	162	158	9264576	
paleogene-slow-0	163	162	5478993	
paleogene-slow-0	164	163	0	Term43
paleogene-slow-0	165	163	0	Term44
paleogene-slow-0	166	162	6528651	
paleogene-slow-0	167	166	0	Term42
paleogene-slow-0	168	166	3415513	
paleogene-slow-0	169	168	0	Term41
paleogene-slow-0	170	168	2798858	
paleogene-slow-0	171	170	0	Term39
paleogene-slow-0	172	170	0	Term40
paleogene-slow-1	0	-1	45883625	
paleogene-slow-1	1	0	42710490	
paleogene-slow-1	2	1	17711652	
paleogene-slow-1	3	2	0	Term67
paleogene-slow-1	4	2	15503349	
paleogene-slow-1	5	4	11321883	
paleogene-slow-1	6	5	5631261	
paleogene-slow-1	7	6	0	Term68
paleogene-slow-1	8	6	0	Term69
paleogene-slow-1	9	5	2713219	
paleogene-slow-1	10	9	0	Term70
paleogene-slow-1	11	9	0	Term71
paleogene-slow-1	12	4	13245418	
paleogene-slow-1	13	12	4619195	
paleogene-slow-1	14	13	0	Term77
paleogene-slow-1	15	13	1172419	
paleogene-slow-1	16	15	0	Term78
paleogene-slow-1	17	15	0	Term79
paleogene-slow-1	18	12	6828823	
paleogene-slow-1	19	18	1158577	
paleogene-slow-1	20	19	0	Term72
paleogene-slow-1	21	19	0	Term73
paleogene-slow-1	22	18	3015228	
paleogene-slow-1	23	22	0	Term74
paleogene-slow-1	24	22	1352114	
paleogene-slow-1	25	24	0	Term75
paleogene-slow-1	26	24	0	Term76
paleogene-slow-1	27	1	37549869	
paleogene-slow-1	28	27	0	Term97
paleogene-slow-1	29	27	23512473	
paleogene-slow-1	30	29	19143697	
paleogene-slow-1	31	30	0	Term94
paleogene-slow-1	32	30	5975292	
paleogene-slow-1	33	32	0	Term95
paleogene-slow-1	34	32	0	Term96
paleogene-slow-1	35	29	19892573	
paleogene-slow-1	36	35	10234199	
paleogene-slow-1	37	36	0	Term82
paleogene-slow-1	38	36	1687948	
paleogene-slow-1	39	38	0	Term80
paleogene-slow-1	40	38	0	Term81
paleogene-slow-1	41	35	14768204	
paleogene-slow-1	42	41	9850471	
paleogene-slow-1	43	42	0	Term83
paleogene-slow-1	44	42	6819400	
paleogene-slow-1	45	44	0	Term86
paleogene-slow-1	46	44	591758	
paleogene-slow-1	47	46	0	Term84
paleogene-slow-1	48	46	0	Term85
paleogene-slow-1	49	41	10222249	
paleogene-slow-1	50	49	3738806	
paleogene-slow-1	51	50	0	Term92
paleogene-slow-1	52	50	0	Term93
paleogene-slow-1	53	49	8691784	
paleogene-slow-1	54	53	2315074	
paleogene-slow-1	55	54	0	Term87
paleogene-slow-1	56	54	0	Term88
paleogene-slow-1	57	53	4979661	
paleogene-slow-1	58	57	0	Term91
paleogene-slow-1	59	57	1651087	
paleogene-slow-1	60	59	0	Term89
paleogene-slow-1	61	59	0	Term90
paleogene-slow-1	62	0	44783104	
paleogene-slow-1	63	62	35484650	
paleogene-slow-1	64	63	5822990	
paleogene-slow-1	65	64	2190675	
paleogene-slow-1	66	65	0	Term14
paleogene-slow-1	67	65	0	Term15
paleogene-slow-1	68	64	1443466	
paleogene-slow-1	69	68	0	Term12
paleogene-slow-1	70	68	0	Term13
paleogene-slow-1	71	63	15519977	
paleogene-slow-1	72	71	14831920	
paleogene-slow-1	73	72	14165534	
paleogene-slow-1	74	73	0	Term7
paleogene-slow-1	75	73	0	Term8
paleogene-slow-1	76	72	14007942	
paleogene-slow-1	77	76	0	Term9
paleogene-slow-1	78	76	4697120	
paleogene-slow-1	79	78	0	Term10
paleogene-slow-1	80	78	0	Term11
paleogene-slow-1	81	71	13979561	
paleogene-slow-1	82	81	1400393	
paleogene-slow-1	83	82	0	Term5
paleogene-slow-1	84	82	0	Term6
paleogene-slow-1	85	81	13081522	
paleogene-slow-1	86	85	0	Term0
paleogene-slow-1	87	85	9694233	
paleogene-slow-1	88	87	0	Term4
paleogene-slow-1	89	87	3968921	
paleogene-slow-1	90	89	0	Term3
paleogene-slow-1	91	89	2376183	
paleogene-slow-1	92	91	0	Term1
paleogene-slow-1	93	91	0	Term2
paleogene-slow-1	94	62	41239074	
paleogene-slow-1	95	94	38786935	
paleogene-slow-1	96	95	18544633	
paleogene-slow-1	97	96	6859318	
paleogene-slow-1	98	97	0	Term20
paleogene-slow-1	99	97	0	Term21
paleogene-slow-1	100	96	17718271	
paleogene-slow-1	101	100	0	Term16
paleogene-slow-1	102	100	15197080	
paleogene-slow-1	103	102	0	Term17
paleogene-slow-1	104	102	14258462	
paleogene-slow-1	105	104	0	Term18
paleogene-slow-1	106	104	0	Term19
paleogene-slow-1	107	95	16338657	
paleogene-slow-1	108	107	0	Term27
paleogene-slow-1	109	107	12227440	
paleogene-slow-1	110	109	0	Term22
paleogene-slow-1	111	109	9157600	
paleogene-slow-1	112	111	6608904	
paleogene-slow-1	113	112	0	Term23
paleogene-slow-1	114	112	0	Term24
paleogene-slow-1	115	111	6383371	
paleogene-slow-1	116	115	0	Term25
paleogene-slow-1	117	115	0	Term26
paleogene-slow-1	118	94	40938104	
paleogene-slow-1	119	118	36809340	
paleogene-slow-1	120	119	5096342	
paleogene-slow-1	121	120	0	Term66
paleogene-slow-1	122	120	3243082	
paleogene-slow-1	123	122	0	Term65
paleogene-slow-1	124	122	3052716	
