# results from simulated data from project "project.tab"
# date: 2024-05-23T21:37:42-03:00
tree	node	age	pixels	farthest
cretaceous-fast-0	0	117049376	0.590000	0.102829
cretaceous-fast-0	1	111863731	0.620000	0.108574
cretaceous-fast-0	2	63419845	0.480000	0.084284
cretaceous-fast-0	3	17251657	0.630000	0.105179
cretaceous-fast-0	6	50140648	0.800000	0.052529
cretaceous-fast-0	8	37817263	0.900000	0.058535
cretaceous-fast-0	10	1632705	0.970000	0.052511
cretaceous-fast-0	13	80219720	0.800000	0.053570
cretaceous-fast-0	14	44539244	0.880000	0.086330
cretaceous-fast-0	15	26088754	0.930000	0.052419
cretaceous-fast-0	17	3119490	0.780000	0.104732
cretaceous-fast-0	20	25055137	0.820000	0.089103
cretaceous-fast-0	21	10930734	1.000000	0.000000
cretaceous-fast-0	24	23460779	0.880000	0.128038
cretaceous-fast-0	26	12959951	0.760000	0.105459
cretaceous-fast-0	28	2791492	1.000000	0.000000
cretaceous-fast-0	31	41829346	0.930000	0.052375
cretaceous-fast-0	33	33245586	0.960000	0.052501
cretaceous-fast-0	34	23981297	0.370000	0.152822
cretaceous-fast-0	36	22720686	0.030000	0.227219
cretaceous-fast-0	38	15655628	0.100000	0.171086
cretaceous-fast-0	40	7882760	0.840000	0.094363
cretaceous-fast-0	43	22485998	0.970000	0.058535
cretaceous-fast-0	45	21561558	0.980000	0.052150
cretaceous-fast-0	47	14724949	1.000000	0.000000
cretaceous-fast-0	48	13010397	0.880000	0.052801
cretaceous-fast-0	51	9300157	0.950000	0.052706
cretaceous-fast-0	54	114998343	0.890000	0.089909
cretaceous-fast-0	55	114929824	0.860000	0.061968
cretaceous-fast-0	57	109505883	0.900000	0.083069
cretaceous-fast-0	58	5766699	0.260000	0.230199
cretaceous-fast-0	60	5149329	0.950000	0.052319
cretaceous-fast-0	63	107111582	0.760000	0.071763
cretaceous-fast-0	64	15652340	0.960000	0.052528
cretaceous-fast-0	67	30252100	0.950000	0.052401
cretaceous-fast-0	69	29401776	0.990000	0.052413
cretaceous-fast-0	70	2446204	0.690000	0.091194
cretaceous-fast-0	73	22012312	0.940000	0.052288
cretaceous-fast-0	75	5715012	1.000000	0.000000
cretaceous-fast-0	78	84276592	0.620000	0.082532
cretaceous-fast-0	79	82314956	0.890000	0.052529
cretaceous-fast-0	81	79229573	0.870000	0.052529
cretaceous-fast-0	82	17471068	0.960000	0.052459
cretaceous-fast-0	85	38218055	0.890000	0.087208
cretaceous-fast-0	86	30037371	0.130000	0.175924
cretaceous-fast-0	89	6415628	1.000000	0.000000
cretaceous-fast-0	91	3359728	0.580000	0.228652
cretaceous-fast-0	94	49781878	0.560000	0.102932
cretaceous-fast-0	95	32436572	0.640000	0.120112
cretaceous-fast-0	97	30092724	0.770000	0.070384
cretaceous-fast-0	98	14124833	1.000000	0.000000
cretaceous-fast-0	101	1413490	1.000000	0.000000
cretaceous-fast-0	104	44200916	0.780000	0.069760
cretaceous-fast-0	105	8140075	0.230000	0.137374
cretaceous-fast-0	108	29775060	0.220000	0.157552
cretaceous-fast-0	109	2913674	0.000000	0.592164
cretaceous-fast-0	112	19169766	0.450000	0.120584
cretaceous-fast-0	114	4581240	0.310000	0.204008
cretaceous-fast-1	0	87315650	0.660000	0.065474
cretaceous-fast-1	1	48893681	0.410000	0.102780
cretaceous-fast-1	2	37653944	0.900000	0.105287
cretaceous-fast-1	3	29258299	0.770000	0.078894
cretaceous-fast-1	4	6622649	1.000000	0.000000
cretaceous-fast-1	7	1300581	0.860000	0.110955
cretaceous-fast-1	10	29468063	0.140000	0.235919
cretaceous-fast-1	12	19641690	0.300000	0.108711
cretaceous-fast-1	14	18739999	0.000000	0.269096
cretaceous-fast-1	16	8666393	0.840000	0.100922
cretaceous-fast-1	19	30156861	0.030000	0.166335
cretaceous-fast-1	20	1449958	0.970000	0.052501
cretaceous-fast-1	23	19008965	0.000000	0.331294
cretaceous-fast-1	24	513120	0.880000	0.160453
cretaceous-fast-1	27	17923071	0.010000	0.257690
cretaceous-fast-1	28	2372546	0.990000	0.052375
cretaceous-fast-1	31	8922735	0.990000	0.052319
cretaceous-fast-1	33	694860	0.700000	0.157297
cretaceous-fast-1	36	75001508	0.610000	0.094363
cretaceous-fast-1	37	37419668	0.630000	0.094370
cretaceous-fast-1	38	1884428	1.000000	0.000000
cretaceous-fast-1	40	1686223	0.930000	0.093581
cretaceous-fast-1	43	29241229	0.780000	0.072704
cretaceous-fast-1	44	6168612	1.000000	0.000000
cretaceous-fast-1	47	23591137	0.540000	0.104889
cretaceous-fast-1	49	10246544	1.000000	0.000000
cretaceous-fast-1	51	4353610	1.000000	0.000000
cretaceous-fast-1	53	3275850	0.880000	0.104788
cretaceous-fast-1	55	1038531	0.980000	0.111777
cretaceous-fast-1	58	52230080	0.770000	0.098213
cretaceous-fast-1	59	16233603	1.000000	0.000000
cretaceous-fast-1	60	4034139	0.950000	0.106531
cretaceous-fast-1	62	3596387	1.000000	0.000000
cretaceous-fast-1	65	4023146	1.000000	0.000000
cretaceous-fast-1	67	3945625	1.000000	0.000000
cretaceous-fast-1	70	49204764	0.710000	0.127469
cretaceous-fast-1	71	41615850	0.840000	0.052529
cretaceous-fast-1	73	34536827	0.900000	0.052529
cretaceous-fast-1	75	20796339	1.000000	0.000000
cretaceous-fast-1	78	34702675	0.450000	0.123330
cretaceous-fast-1	79	32289569	0.930000	0.059870
cretaceous-fast-1	80	1277447	1.000000	0.000000
cretaceous-fast-1	83	28324617	0.970000	0.052263
cretaceous-fast-1	85	16554933	1.000000	0.000000
cretaceous-fast-1	88	29650599	0.230000	0.157014
cretaceous-fast-1	89	12587332	1.000000	0.000000
cretaceous-fast-1	90	7610444	0.930000	0.052459
cretaceous-fast-1	93	12350442	1.000000	0.000000
cretaceous-fast-1	95	1772307	1.000000	0.000000
cretaceous-fast-1	98	24691261	0.280000	0.157250
cretaceous-fast-1	99	19333574	0.060000	0.170800
cretaceous-fast-1	101	2812574	0.210000	0.157422
cretaceous-fast-1	104	16140762	0.980000	0.052401
cretaceous-fast-1	106	10414913	0.990000	0.052320
cretaceous-fast-1	108	5929219	0.950000	0.058535
cretaceous-fast-10	0	113017689	0.470000	0.132748
