# results from simulated data from project "project.tab"
# date: 2024-05-25T01:20:08-03:00
tree	node	age	pixels	farthest
jurassic-fast-0	0	165540178	0.920000	0.070763
jurassic-fast-0	1	62658519	0.640000	0.105875
jurassic-fast-0	3	58147764	0.710000	0.086143
jurassic-fast-0	4	37689952	0.910000	0.052417
jurassic-fast-0	7	25832278	0.820000	0.086910
jurassic-fast-0	9	24449388	0.920000	0.053081
jurassic-fast-0	11	2142787	0.910000	0.052529
jurassic-fast-0	14	148221352	0.410000	0.130503
jurassic-fast-0	15	145759179	0.670000	0.067855
jurassic-fast-0	16	105473412	0.870000	0.056108
jurassic-fast-0	17	53816137	0.280000	0.113007
jurassic-fast-0	19	14110566	0.810000	0.099725
jurassic-fast-0	21	7543429	0.380000	0.104740
jurassic-fast-0	24	74443265	0.410000	0.106485
jurassic-fast-0	25	6763325	0.230000	0.138285
jurassic-fast-0	27	4855154	0.860000	0.111049
jurassic-fast-0	30	45388902	0.680000	0.062231
jurassic-fast-0	32	9884595	0.750000	0.067052
jurassic-fast-0	34	7730088	0.840000	0.058536
jurassic-fast-0	37	134798815	0.880000	0.105871
jurassic-fast-0	38	20808243	0.890000	0.070231
jurassic-fast-0	40	734126	0.840000	0.054113
jurassic-fast-0	43	90310212	0.670000	0.104740
jurassic-fast-0	44	34884013	0.930000	0.052417
jurassic-fast-0	46	10202803	0.950000	0.074858
jurassic-fast-0	49	46643164	0.770000	0.078096
jurassic-fast-0	50	36566761	0.750000	0.060561
jurassic-fast-0	52	540869	0.140000	0.147828
jurassic-fast-0	55	12369082	0.850000	0.092162
jurassic-fast-0	56	11128996	0.600000	0.104794
jurassic-fast-0	58	454604	1.000000	0.000000
jurassic-fast-0	61	10724474	0.650000	0.146116
jurassic-fast-0	62	9284499	0.640000	0.107227
jurassic-fast-0	65	7726784	0.930000	0.052546
jurassic-fast-0	68	104970522	0.370000	0.140928
jurassic-fast-0	69	83320269	0.890000	0.082370
jurassic-fast-0	71	70103352	0.540000	0.105996
jurassic-fast-0	72	52719523	0.380000	0.147402
jurassic-fast-0	75	54290625	0.380000	0.103105
jurassic-fast-0	76	43658705	0.460000	0.121997
jurassic-fast-0	78	25791653	0.920000	0.052616
jurassic-fast-0	80	8030192	0.880000	0.076077
jurassic-fast-0	82	5566671	0.340000	0.104978
jurassic-fast-0	85	47813797	0.480000	0.106965
jurassic-fast-0	87	30020590	0.690000	0.107814
jurassic-fast-0	89	19961989	0.720000	0.104072
jurassic-fast-0	91	18201212	0.960000	0.052324
jurassic-fast-0	93	5865852	0.750000	0.087899
jurassic-fast-0	96	80676360	0.880000	0.052417
jurassic-fast-0	97	70720231	0.430000	0.140975
jurassic-fast-0	98	12156611	0.920000	0.105779
jurassic-fast-0	101	55329759	0.370000	0.104831
jurassic-fast-0	103	32820448	0.860000	0.052801
jurassic-fast-0	106	49421706	0.830000	0.070988
jurassic-fast-0	107	46006890	0.860000	0.105740
jurassic-fast-0	108	34734201	0.850000	0.099256
jurassic-fast-0	111	19991659	0.820000	0.052511
jurassic-fast-0	113	9938263	0.980000	0.052319
jurassic-fast-0	115	5916984	0.950000	0.054997
jurassic-fast-0	118	30094424	0.850000	0.082025
jurassic-fast-0	119	11843129	0.480000	0.104797
jurassic-fast-0	121	3349831	0.960000	0.052319
jurassic-fast-0	124	1864134	0.620000	0.103739
jurassic-fast-0	126	1387361	0.820000	0.054366
jurassic-fast-0	128	237845	1.000000	0.000000
jurassic-fast-1	0	196527132	0.810000	0.052529
jurassic-fast-1	1	57966651	0.770000	0.052975
jurassic-fast-1	3	8679315	1.000000	0.000000
jurassic-fast-1	6	165049295	0.770000	0.093419
jurassic-fast-1	7	161155982	0.920000	0.052501
jurassic-fast-1	8	88165957	0.860000	0.056183
jurassic-fast-1	10	55665522	0.380000	0.121437
jurassic-fast-1	11	40340036	0.910000	0.090571
jurassic-fast-1	13	11584607	0.990000	0.052171
jurassic-fast-1	16	11712772	0.080000	0.164807
jurassic-fast-1	18	1756011	0.970000	0.080729
jurassic-fast-1	20	608631	0.980000	0.052501
jurassic-fast-1	23	110493321	0.850000	0.089366
jurassic-fast-1	25	59710528	0.910000	0.106366
jurassic-fast-1	26	31714547	0.940000	0.058899
jurassic-fast-1	28	22097557	0.250000	0.117070
jurassic-fast-1	31	55476904	0.890000	0.057761
jurassic-fast-1	32	52756734	0.800000	0.052801
jurassic-fast-1	35	54088256	0.440000	0.105733
jurassic-fast-1	37	43730135	0.470000	0.070144
jurassic-fast-1	38	20292451	0.370000	0.116265
jurassic-fast-1	41	13651634	0.800000	0.099800
jurassic-fast-1	43	11638960	0.750000	0.080073
jurassic-fast-1	46	159199055	0.860000	0.094363
jurassic-fast-1	47	99270082	0.560000	0.104978
jurassic-fast-1	48	14313935	0.060000	0.227469
jurassic-fast-1	51	18829270	0.800000	0.125295
jurassic-fast-1	52	2568301	1.000000	0.000000
jurassic-fast-1	55	1421412	1.000000	0.000000
jurassic-fast-1	58	103772038	0.710000	0.070231
jurassic-fast-1	59	36844520	0.680000	0.070256
jurassic-fast-1	60	5027038	0.770000	0.106864
jurassic-fast-1	62	1032496	0.930000	0.068173
jurassic-fast-1	65	2741059	0.080000	0.262641
jurassic-fast-1	67	697295	0.980000	0.052633
jurassic-fast-1	70	88160192	0.500000	0.104796
jurassic-fast-1	71	24916918	0.990000	0.052019
jurassic-fast-1	74	73933400	0.630000	0.107181
jurassic-fast-1	75	43912650	0.570000	0.135400
jurassic-fast-1	77	39004538	0.630000	0.064438
jurassic-fast-1	78	2599929	0.990000	0.055484
jurassic-fast-1	81	429666	1.000000	0.000000
jurassic-fast-1	84	73234283	0.940000	0.052319
jurassic-fast-1	85	42522335	0.830000	0.056919
jurassic-fast-1	87	38613804	0.760000	0.095998
jurassic-fast-1	88	770018	1.000000	0.000000
jurassic-fast-1	91	34494075	0.600000	0.105212
jurassic-fast-1	93	20859972	0.990000	0.052005
jurassic-fast-1	96	70761475	0.880000	0.052373
jurassic-fast-1	97	60290781	0.600000	0.064599
jurassic-fast-1	98	24309018	0.430000	0.104720
jurassic-fast-1	101	17333673	0.960000	0.052324
jurassic-fast-1	104	55937933	0.170000	0.127807
jurassic-fast-1	106	28437099	0.780000	0.104889
jurassic-fast-1	108	13455573	0.960000	0.052180
jurassic-fast-10	0	190805673	0.310000	0.124415
jurassic-fast-10	1	160361590	0.870000	0.052706
jurassic-fast-10	2	131839560	0.900000	0.052801
jurassic-fast-10	3	125420999	0.870000	0.052511
jurassic-fast-10	5	42974211	0.840000	0.053693
jurassic-fast-10	8	72538069	0.540000	0.104889
jurassic-fast-10	10	54235191	0.750000	0.105718
jurassic-fast-10	12	11931615	0.920000	0.057183
jurassic-fast-10	15	68160100	0.690000	0.094610
jurassic-fast-10	17	57847992	0.950000	0.052417
jurassic-fast-10	18	4172431	0.540000	0.157114
jurassic-fast-10	20	1742778	0.940000	0.052373
jurassic-fast-10	23	46999374	0.800000	0.105851
