# results from simulated data from project "project.tab"
# date: 2024-05-22T16:18:28-03:00
tree	node	age	pixels	farthest
neogene-avg-0	0	20064050	0.980000	0.052320
neogene-avg-0	1	12338957	1.000000	0.000000
neogene-avg-0	2	7039631	1.000000	0.000000
neogene-avg-0	5	7645962	0.930000	0.105224
neogene-avg-0	6	3905580	0.850000	0.163209
neogene-avg-0	7	504770	0.950000	0.107156
neogene-avg-0	10	3296216	0.940000	0.126876
neogene-avg-0	12	1372173	0.950000	0.058535
neogene-avg-0	14	808263	0.960000	0.110171
neogene-avg-0	17	6957480	0.860000	0.105056
neogene-avg-0	19	6879963	0.880000	0.156598
neogene-avg-0	20	6775216	0.880000	0.105021
neogene-avg-0	22	4529561	0.990000	0.104831
neogene-avg-0	25	4251465	0.730000	0.178313
neogene-avg-0	27	3153186	0.940000	0.077400
neogene-avg-0	30	19383066	1.000000	0.000000
neogene-avg-0	31	9707323	0.990000	0.052546
neogene-avg-0	32	4641981	0.990000	0.104354
neogene-avg-0	35	8807295	1.000000	0.000000
neogene-avg-0	36	6610851	0.960000	0.086573
neogene-avg-0	38	1982750	0.980000	0.057486
neogene-avg-0	41	631224	0.870000	0.149197
neogene-avg-0	43	24413	0.970000	0.113998
neogene-avg-0	46	18356707	1.000000	0.000000
neogene-avg-0	48	16153228	1.000000	0.000000
neogene-avg-0	49	1648174	0.870000	0.210098
neogene-avg-0	51	1644155	0.870000	0.210098
neogene-avg-0	53	950476	0.870000	0.123904
neogene-avg-0	56	15407055	0.990000	0.052180
neogene-avg-0	57	1732017	0.980000	0.058536
neogene-avg-0	59	172486	0.950000	0.084578
neogene-avg-0	62	14955050	1.000000	0.000000
neogene-avg-0	63	12556139	0.860000	0.104491
neogene-avg-0	64	6274689	0.930000	0.144335
neogene-avg-0	66	4632109	1.000000	0.000000
neogene-avg-0	68	848519	0.960000	0.102588
neogene-avg-0	71	11965091	0.900000	0.054142
neogene-avg-0	72	2090985	0.910000	0.243249
neogene-avg-0	74	1759792	0.910000	0.144333
neogene-avg-0	76	44444	0.910000	0.122462
neogene-avg-0	79	10350956	0.930000	0.133541
neogene-avg-0	80	5307322	0.940000	0.183400
neogene-avg-0	81	2894599	1.000000	0.000000
neogene-avg-0	84	261754	0.890000	0.104606
neogene-avg-0	87	5342223	0.210000	0.320256
neogene-avg-0	88	630588	0.940000	0.116498
neogene-avg-0	91	3072148	0.810000	0.171214
neogene-avg-0	93	99959	0.930000	0.078217
neogene-avg-0	96	12775027	0.970000	0.072787
neogene-avg-0	97	12438399	1.000000	0.000000
neogene-avg-0	98	1037874	0.890000	0.104740
neogene-avg-0	100	820234	0.920000	0.128200
neogene-avg-0	102	714161	0.930000	0.128200
neogene-avg-0	105	11573682	0.890000	0.104740
neogene-avg-0	107	10087180	0.970000	0.133761
neogene-avg-0	108	9767206	0.950000	0.133617
neogene-avg-0	111	10083161	0.970000	0.133761
neogene-avg-0	113	8445609	0.920000	0.164295
neogene-avg-0	114	4570795	0.980000	0.052180
neogene-avg-0	117	4251344	0.800000	0.157127
neogene-avg-0	119	3006080	0.980000	0.052263
neogene-avg-0	122	11852881	0.970000	0.073422
neogene-avg-0	123	4470171	0.370000	0.262419
neogene-avg-0	125	452633	0.830000	0.156910
neogene-avg-0	128	10731394	0.930000	0.105287
neogene-avg-0	129	7016379	0.990000	0.067789
neogene-avg-0	132	9809434	0.950000	0.104740
neogene-avg-0	133	9158428	0.990000	0.052319
neogene-avg-0	134	6788078	0.960000	0.104630
neogene-avg-0	135	4939310	0.930000	0.085000
neogene-avg-0	138	4096932	0.940000	0.084229
neogene-avg-0	141	3967215	0.940000	0.082499
neogene-avg-0	143	2397945	0.980000	0.052616
neogene-avg-0	145	789607	0.990000	0.052171
neogene-avg-0	148	8495563	0.880000	0.157097
neogene-avg-0	149	4699839	0.990000	0.052171
neogene-avg-0	151	4668966	0.990000	0.052171
neogene-avg-0	153	2393723	0.930000	0.123088
neogene-avg-0	154	1107493	0.900000	0.171775
neogene-avg-0	157	765454	0.910000	0.094363
neogene-avg-0	160	8261937	0.890000	0.104942
neogene-avg-0	161	7670566	0.990000	0.052373
neogene-avg-0	162	1125204	0.920000	0.209509
neogene-avg-0	165	483075	0.930000	0.081198
neogene-avg-0	168	5414261	0.970000	0.052501
neogene-avg-0	170	4674462	0.960000	0.052459
neogene-avg-0	172	4261533	0.970000	0.081999
neogene-avg-0	174	3571815	0.970000	0.052501
neogene-avg-0	176	956238	0.940000	0.108060
neogene-avg-1	0	6336844	0.520000	0.263207
neogene-avg-1	1	4704694	0.550000	0.172461
neogene-avg-1	2	4320268	0.570000	0.210038
neogene-avg-1	4	2792	0.850000	0.210038
neogene-avg-1	7	3668086	0.200000	0.331318
neogene-avg-1	8	2103888	0.050000	0.424816
neogene-avg-1	10	1341344	0.120000	0.366089
neogene-avg-1	12	114881	0.980000	0.052417
neogene-avg-1	14	78046	0.960000	0.052529
neogene-avg-1	17	2859334	0.680000	0.180497
neogene-avg-1	18	855077	0.950000	0.055238
neogene-avg-1	20	191150	0.970000	0.104327
neogene-avg-1	22	157548	0.960000	0.104783
neogene-avg-1	25	1753921	0.830000	0.133243
neogene-avg-1	26	401071	0.910000	0.109320
neogene-avg-1	29	1251823	0.780000	0.177504
neogene-avg-1	30	875411	0.880000	0.088632
neogene-avg-1	33	594254	0.870000	0.104626
neogene-avg-1	35	354055	0.890000	0.119636
neogene-avg-1	38	6170455	0.640000	0.194742
neogene-avg-1	39	5780028	0.910000	0.157321
neogene-avg-1	40	4425770	0.550000	0.191539
neogene-avg-1	42	2922357	0.940000	0.157080
neogene-avg-1	43	2344972	0.940000	0.148062
neogene-avg-1	44	2176759	0.980000	0.052511
neogene-avg-1	46	708769	0.950000	0.096133
neogene-avg-1	49	1937767	0.980000	0.058535
neogene-avg-1	50	1109006	0.920000	0.104728
neogene-avg-1	53	166811	0.910000	0.115020
neogene-avg-1	56	2235015	0.920000	0.094370
neogene-avg-1	58	1393029	0.800000	0.116663
neogene-avg-1	59	819958	0.910000	0.094261
neogene-avg-1	62	1005752	0.900000	0.136358
neogene-avg-1	63	37418	0.930000	0.095809
neogene-avg-1	66	828504	0.920000	0.132735
neogene-avg-1	68	594959	0.970000	0.052969
neogene-avg-1	71	3729978	0.770000	0.211404
neogene-avg-1	72	3014571	0.880000	0.209456
neogene-avg-1	74	2963517	0.920000	0.157236
neogene-avg-1	76	2242148	0.920000	0.058535
neogene-avg-1	77	294221	0.950000	0.143505
neogene-avg-1	80	1093439	0.870000	0.115860
neogene-avg-1	82	321051	0.840000	0.134063
neogene-avg-1	85	3575309	0.830000	0.123276
neogene-avg-1	86	763116	0.860000	0.079534
neogene-avg-1	89	3120473	0.890000	0.105514
neogene-avg-1	91	2159355	0.860000	0.113072
neogene-avg-1	92	1600303	0.800000	0.128054
neogene-avg-1	93	1557199	0.830000	0.105747
neogene-avg-1	96	649791	0.810000	0.158426
neogene-avg-1	99	1494772	0.870000	0.140928
neogene-avg-1	101	273453	0.870000	0.104862
neogene-avg-1	103	239505	0.900000	0.052823
neogene-avg-1	106	5942963	0.640000	0.196267
neogene-avg-1	107	4152723	0.820000	0.224486
neogene-avg-1	108	4046667	0.860000	0.166919
neogene-avg-1	109	1820377	0.720000	0.157150
neogene-avg-1	111	819928	0.920000	0.107800
neogene-avg-1	114	3162465	0.930000	0.113881
neogene-avg-1	115	249759	0.940000	0.133901
neogene-avg-1	118	1142411	0.850000	0.182628
neogene-avg-1	120	1037761	0.820000	0.155470
