# results from simulated data from project "project.tab"
# date: 2024-05-22T16:18:35-03:00
tree	node	age	pixels	farthest
neogene-fast-0	0	17511330	0.970000	0.052417
neogene-fast-0	1	17182042	0.770000	0.055005
neogene-fast-0	3	10480914	0.730000	0.105268
neogene-fast-0	4	5007638	0.410000	0.087372
neogene-fast-0	5	807215	0.980000	0.052511
neogene-fast-0	8	197052	1.000000	0.000000
neogene-fast-0	11	6402803	0.870000	0.052510
neogene-fast-0	13	5197968	0.940000	0.052320
neogene-fast-0	15	1072188	0.980000	0.052364
neogene-fast-0	17	192651	1.000000	0.000000
neogene-fast-0	20	15400468	0.780000	0.086526
neogene-fast-0	21	4842612	0.840000	0.085792
neogene-fast-0	22	2332445	0.980000	0.052019
neogene-fast-0	25	4421364	0.270000	0.107536
neogene-fast-0	27	2658592	0.190000	0.182990
neogene-fast-0	29	548237	0.960000	0.052419
neogene-fast-0	32	15298097	0.970000	0.052401
neogene-fast-0	33	11683401	0.250000	0.123995
neogene-fast-0	34	1427868	1.000000	0.000000
neogene-fast-0	37	7009931	0.780000	0.053785
neogene-fast-0	39	5377756	0.980000	0.052511
neogene-fast-0	40	3657053	0.900000	0.068173
neogene-fast-0	43	4133244	0.780000	0.094363
neogene-fast-0	44	2915619	0.980000	0.052529
neogene-fast-0	47	1982104	0.540000	0.093025
neogene-fast-0	49	868670	1.000000	0.000000
neogene-fast-0	52	13433854	0.740000	0.116220
neogene-fast-0	53	12089012	0.990000	0.052399
neogene-fast-0	54	5032380	0.090000	0.168514
neogene-fast-0	55	4227920	0.230000	0.132423
neogene-fast-0	57	2947200	0.080000	0.186944
neogene-fast-0	60	997111	1.000000	0.000000
neogene-fast-0	62	751451	1.000000	0.000000
neogene-fast-0	65	10089008	1.000000	0.000000
neogene-fast-0	66	7551383	1.000000	0.000000
neogene-fast-0	67	3251948	0.400000	0.127979
neogene-fast-0	70	6713339	1.000000	0.000000
neogene-fast-0	72	6422089	0.610000	0.094370
neogene-fast-0	74	4301106	1.000000	0.000000
neogene-fast-0	76	1905379	1.000000	0.000000
neogene-fast-0	78	1158975	0.870000	0.082090
neogene-fast-0	81	8664083	0.990000	0.052501
neogene-fast-0	82	8148557	1.000000	0.000000
neogene-fast-0	84	1020520	1.000000	0.000000
neogene-fast-0	87	8306680	1.000000	0.000000
neogene-fast-0	88	8020236	0.960000	0.052528
neogene-fast-0	90	767662	1.000000	0.000000
neogene-fast-0	93	5857412	0.660000	0.090761
neogene-fast-0	94	3767829	1.000000	0.000000
neogene-fast-0	97	393217	0.980000	0.052019
neogene-fast-0	100	11753567	0.510000	0.147344
neogene-fast-0	101	11593100	0.610000	0.123730
neogene-fast-0	102	1052024	0.990000	0.052373
neogene-fast-0	105	8668492	0.920000	0.058535
neogene-fast-0	106	807469	1.000000	0.000000
neogene-fast-0	108	717850	1.000000	0.000000
neogene-fast-0	110	314713	1.000000	0.000000
neogene-fast-0	112	296309	0.990000	0.052699
neogene-fast-0	115	5477227	1.000000	0.000000
neogene-fast-0	116	2312213	0.910000	0.094370
neogene-fast-0	119	5380125	0.920000	0.052459
neogene-fast-0	120	689403	0.860000	0.054051
neogene-fast-0	123	3185474	0.970000	0.056852
neogene-fast-0	125	2088687	1.000000	0.000000
neogene-fast-0	127	1738199	1.000000	0.000000
neogene-fast-0	130	8178270	0.970000	0.058535
neogene-fast-0	131	5469905	0.900000	0.055157
neogene-fast-0	133	1140159	1.000000	0.000000
neogene-fast-0	136	6874849	0.890000	0.094363
neogene-fast-0	137	6037947	0.490000	0.122828
neogene-fast-0	138	2279752	1.000000	0.000000
neogene-fast-0	140	1429947	1.000000	0.000000
neogene-fast-0	143	700663	1.000000	0.000000
neogene-fast-0	145	271491	1.000000	0.000000
neogene-fast-0	148	6758052	0.550000	0.105056
neogene-fast-0	150	6090812	0.810000	0.052529
neogene-fast-0	151	5837664	1.000000	0.000000
neogene-fast-0	152	3584214	1.000000	0.000000
neogene-fast-0	155	2149665	1.000000	0.000000
neogene-fast-0	158	3702261	1.000000	0.000000
neogene-fast-0	159	1478607	0.150000	0.180964
neogene-fast-0	162	2604421	1.000000	0.000000
neogene-fast-0	163	1928528	1.000000	0.000000
neogene-fast-0	165	979354	1.000000	0.000000
neogene-fast-0	167	80043	0.940000	0.069249
neogene-fast-0	170	1042384	1.000000	0.000000
neogene-fast-0	171	311693	0.990000	0.052401
neogene-fast-0	174	197347	0.970000	0.094370
neogene-fast-1	0	8300042	1.000000	0.000000
neogene-fast-1	2	7743045	1.000000	0.000000
neogene-fast-1	3	5285775	1.000000	0.000000
neogene-fast-1	4	2786497	1.000000	0.000000
neogene-fast-1	6	1651139	1.000000	0.000000
neogene-fast-1	8	1209267	1.000000	0.000000
neogene-fast-1	11	4646725	1.000000	0.000000
neogene-fast-1	12	904288	0.960000	0.052401
neogene-fast-1	15	3934165	1.000000	0.000000
neogene-fast-1	16	2605791	1.000000	0.000000
neogene-fast-1	18	2271502	1.000000	0.000000
neogene-fast-1	20	1159819	0.270000	0.427545
neogene-fast-1	23	1677293	1.000000	0.000000
neogene-fast-1	24	192557	0.890000	0.145455
neogene-fast-1	26	162253	0.950000	0.156647
neogene-fast-1	29	709882	0.980000	0.204832
neogene-fast-1	31	494668	0.980000	0.066038
neogene-fast-1	33	443870	0.930000	0.066038
neogene-fast-1	36	7063782	0.990000	0.052417
