# results from simulated data from project "project.tab"
# date: 2024-05-23T03:06:22-03:00
tree	node	age	pixels	farthest
paleogene-avg-0	0	36921125	0.270000	0.325912
paleogene-avg-0	1	20800129	0.370000	0.283688
paleogene-avg-0	2	1846357	0.910000	0.140928
paleogene-avg-0	4	1089961	0.890000	0.098669
paleogene-avg-0	7	20464479	0.340000	0.283688
paleogene-avg-0	8	19227156	0.130000	0.330738
paleogene-avg-0	9	11809649	0.950000	0.104831
paleogene-avg-0	11	4297170	1.000000	0.000000
paleogene-avg-0	14	18874043	0.090000	0.344036
paleogene-avg-0	15	8674664	0.970000	0.157115
paleogene-avg-0	18	18419092	0.090000	0.319918
paleogene-avg-0	20	9673130	0.530000	0.198950
paleogene-avg-0	22	8858717	0.750000	0.123510
paleogene-avg-0	23	6644013	0.240000	0.269364
paleogene-avg-0	25	2096766	0.710000	0.194684
paleogene-avg-0	28	6265785	0.530000	0.177815
paleogene-avg-0	30	1922228	0.980000	0.052546
paleogene-avg-0	33	19682590	0.450000	0.183534
paleogene-avg-0	34	18202624	0.980000	0.052511
paleogene-avg-0	36	8736335	1.000000	0.000000
paleogene-avg-0	39	15550295	0.870000	0.099210
paleogene-avg-0	40	8582493	0.960000	0.104636
paleogene-avg-0	41	8239250	0.980000	0.052417
paleogene-avg-0	43	1764653	0.950000	0.104636
paleogene-avg-0	46	6366188	1.000000	0.000000
paleogene-avg-0	48	2079146	0.960000	0.080730
paleogene-avg-0	51	11927573	0.970000	0.114605
paleogene-avg-0	52	11833166	0.960000	0.089369
paleogene-avg-0	54	11335603	0.940000	0.089369
paleogene-avg-0	56	1535955	0.900000	0.135574
paleogene-avg-0	59	4787053	1.000000	0.000000
paleogene-avg-0	60	639161	0.960000	0.107302
paleogene-avg-0	63	1927223	0.930000	0.056878
paleogene-avg-0	65	1909307	0.930000	0.056878
paleogene-avg-0	68	31383922	0.940000	0.055271
paleogene-avg-0	69	383575	0.940000	0.169171
paleogene-avg-0	72	29123223	0.910000	0.104725
paleogene-avg-0	73	25498528	0.700000	0.262899
paleogene-avg-0	74	1678641	0.890000	0.105310
paleogene-avg-0	77	6538240	0.990000	0.052360
paleogene-avg-0	78	2352741	0.940000	0.084253
paleogene-avg-0	81	774583	0.910000	0.127176
paleogene-avg-0	84	28519928	0.870000	0.159901
paleogene-avg-0	85	21391164	1.000000	0.000000
paleogene-avg-0	86	11766850	0.400000	0.281355
paleogene-avg-0	88	7257527	0.940000	0.180765
paleogene-avg-0	90	6923401	0.940000	0.078352
paleogene-avg-0	93	19702315	0.970000	0.052417
paleogene-avg-0	95	17220878	0.950000	0.171309
paleogene-avg-0	97	14320241	1.000000	0.000000
paleogene-avg-0	98	498168	0.930000	0.174292
paleogene-avg-0	101	12272845	0.990000	0.052319
paleogene-avg-0	102	4894496	0.990000	0.052608
paleogene-avg-0	105	8625479	0.970000	0.052820
paleogene-avg-0	106	1049130	0.970000	0.084597
paleogene-avg-0	109	6744806	0.840000	0.178216
