# results from simulated data from project "project.tab"
# date: 2024-05-23T03:06:40-03:00
tree	node	age	pixels	farthest
paleogene-fast-0	0	54820883	0.430000	0.140928
paleogene-fast-0	1	43196694	0.890000	0.052622
paleogene-fast-0	2	24177801	0.540000	0.157092
paleogene-fast-0	4	2412053	1.000000	0.000000
paleogene-fast-0	7	19139153	0.950000	0.105862
paleogene-fast-0	8	5861292	0.320000	0.140928
paleogene-fast-0	11	16389901	0.830000	0.052419
paleogene-fast-0	13	15611076	0.710000	0.064221
paleogene-fast-0	15	11565748	0.830000	0.052401
paleogene-fast-0	16	11167359	0.660000	0.075342
paleogene-fast-0	19	4649227	0.930000	0.052529
paleogene-fast-0	22	49049962	0.610000	0.148062
paleogene-fast-0	23	43601149	0.480000	0.157141
paleogene-fast-0	25	36842975	0.830000	0.152025
paleogene-fast-0	26	21047822	0.450000	0.107938
paleogene-fast-0	27	2382713	0.700000	0.117155
paleogene-fast-0	30	11443611	0.830000	0.080530
paleogene-fast-0	32	3325600	1.000000	0.000000
paleogene-fast-0	35	27097757	0.960000	0.052511
paleogene-fast-0	36	25692412	0.890000	0.087169
paleogene-fast-0	37	13108438	0.560000	0.104889
paleogene-fast-0	40	24513264	0.420000	0.104740
paleogene-fast-0	42	3238843	0.970000	0.053265
paleogene-fast-0	45	22195447	0.640000	0.094370
paleogene-fast-0	47	5974119	0.970000	0.052401
paleogene-fast-0	48	4490676	0.970000	0.052320
paleogene-fast-0	51	4253110	0.970000	0.052546
paleogene-fast-0	54	41373878	0.510000	0.117070
paleogene-fast-0	55	29476615	0.760000	0.113591
paleogene-fast-0	56	5290228	0.990000	0.052373
paleogene-fast-0	59	23269052	0.740000	0.094370
paleogene-fast-0	61	15957983	0.710000	0.105137
paleogene-fast-0	63	6350174	0.280000	0.111864
paleogene-fast-0	65	4452105	0.570000	0.127446
paleogene-fast-0	68	36886368	0.730000	0.103868
paleogene-fast-0	69	28342228	0.880000	0.091552
paleogene-fast-0	70	12939403	0.620000	0.108644
paleogene-fast-0	72	4325480	0.680000	0.104354
paleogene-fast-0	75	21551695	0.800000	0.093613
paleogene-fast-0	76	9835712	0.980000	0.052319
paleogene-fast-0	79	17076386	0.880000	0.094370
paleogene-fast-0	80	15947718	0.500000	0.094363
paleogene-fast-0	83	14850312	0.810000	0.057657
paleogene-fast-0	85	2934466	0.450000	0.156910
paleogene-fast-0	88	25061415	0.600000	0.120052
paleogene-fast-0	89	304896	0.960000	0.053386
paleogene-fast-0	92	20324508	0.700000	0.104978
paleogene-fast-0	93	16517459	0.710000	0.094370
paleogene-fast-0	94	5612352	0.990000	0.052360
paleogene-fast-0	97	3852555	1.000000	0.000000
paleogene-fast-0	100	15121357	0.980000	0.092387
paleogene-fast-0	101	5813237	0.830000	0.052633
paleogene-fast-0	104	14637830	0.880000	0.052529
paleogene-fast-0	105	9648630	0.910000	0.052801
paleogene-fast-0	107	4283951	0.930000	0.052459
paleogene-fast-0	110	9966220	0.970000	0.052801
paleogene-fast-0	112	6249503	0.890000	0.052528
paleogene-fast-0	114	2998429	1.000000	0.000000
paleogene-fast-0	116	1301357	1.000000	0.000000
paleogene-fast-0	118	817219	1.000000	0.000000
paleogene-fast-1	0	25676107	0.850000	0.125637
paleogene-fast-1	1	20244705	0.950000	0.050036
paleogene-fast-1	2	3593306	0.870000	0.052801
paleogene-fast-1	4	2795691	1.000000	0.000000
paleogene-fast-1	6	1076260	0.950000	0.110972
paleogene-fast-1	9	8336429	1.000000	0.000000
paleogene-fast-1	10	8077382	1.000000	0.000000
paleogene-fast-1	11	3498979	0.980000	0.052417
paleogene-fast-1	14	1138558	0.960000	0.118720
paleogene-fast-1	17	5502306	0.910000	0.105021
paleogene-fast-1	19	5043684	0.700000	0.134920
paleogene-fast-1	21	1280823	0.890000	0.057634
paleogene-fast-1	24	23328602	0.130000	0.160865
paleogene-fast-1	25	16294182	0.080000	0.122434
paleogene-fast-1	27	6724972	0.990000	0.052005
paleogene-fast-1	28	4107845	1.000000	0.000000
paleogene-fast-1	31	1430119	0.980000	0.066611
paleogene-fast-1	33	311937	0.980000	0.094370
paleogene-fast-1	36	17496128	0.390000	0.209151
paleogene-fast-1	37	17159154	0.460000	0.140928
paleogene-fast-1	38	10307891	0.330000	0.107878
paleogene-fast-1	41	14091000	0.120000	0.204233
paleogene-fast-1	42	7147899	1.000000	0.000000
paleogene-fast-1	43	1839825	0.990000	0.052319
paleogene-fast-1	46	3424544	1.000000	0.000000
paleogene-fast-1	48	2177647	0.800000	0.121666
paleogene-fast-1	50	112856	0.980000	0.058536
paleogene-fast-1	53	7250823	1.000000	0.000000
paleogene-fast-1	54	1728309	0.980000	0.054746
paleogene-fast-1	56	1122224	0.990000	0.050036
paleogene-fast-1	59	6435844	0.980000	0.052319
paleogene-fast-1	61	4165631	1.000000	0.000000
paleogene-fast-1	63	2336274	1.000000	0.000000
paleogene-fast-1	66	13452542	0.880000	0.052417
paleogene-fast-1	67	10301673	0.800000	0.070812
paleogene-fast-1	68	5554113	1.000000	0.000000
paleogene-fast-1	71	1191625	1.000000	0.000000
paleogene-fast-1	74	13394182	0.970000	0.065106
paleogene-fast-1	75	11394329	0.890000	0.055157
paleogene-fast-1	76	3405468	0.190000	0.176829
paleogene-fast-1	79	2866754	1.000000	0.000000
paleogene-fast-1	81	2064553	1.000000	0.000000
paleogene-fast-1	83	1488469	0.990000	0.137797
paleogene-fast-1	86	9954894	0.960000	0.102476
paleogene-fast-1	87	9511593	0.950000	0.052529
paleogene-fast-1	88	2301195	0.960000	0.058535
paleogene-fast-1	91	4846594	1.000000	0.000000
paleogene-fast-1	92	2436264	0.930000	0.052660
paleogene-fast-1	95	1890788	1.000000	0.000000
paleogene-fast-1	98	9575403	0.960000	0.055745
paleogene-fast-1	99	7436654	0.010000	0.419178
paleogene-fast-1	101	5654493	1.000000	0.000000
paleogene-fast-1	103	620769	0.970000	0.052529
paleogene-fast-1	106	6634065	1.000000	0.000000
paleogene-fast-1	107	5244424	1.000000	0.000000
paleogene-fast-1	110	4576899	1.000000	0.000000
paleogene-fast-1	111	3038910	0.860000	0.078457
paleogene-fast-1	113	351272	0.990000	0.078765
paleogene-fast-1	116	4268585	1.000000	0.000000
paleogene-fast-1	117	1672618	0.970000	0.052546
paleogene-fast-1	120	1121057	1.000000	0.000000
paleogene-fast-10	0	26514656	0.770000	0.092778
paleogene-fast-10	1	18142570	0.120000	0.167369
paleogene-fast-10	2	14107793	1.000000	0.000000
paleogene-fast-10	3	13472197	1.000000	0.000000
paleogene-fast-10	6	12397982	0.990000	0.052319
paleogene-fast-10	8	11055671	0.990000	0.052417
paleogene-fast-10	10	10851251	1.000000	0.000000
paleogene-fast-10	12	2726313	1.000000	0.000000
paleogene-fast-10	15	15008984	0.890000	0.052529
paleogene-fast-10	17	5409264	0.980000	0.052529
paleogene-fast-10	18	4428354	0.990000	0.058535
paleogene-fast-10	19	4240877	0.980000	0.057673
paleogene-fast-10	22	2671807	0.720000	0.178411
paleogene-fast-10	24	1526473	0.870000	0.094363
paleogene-fast-10	26	982488	0.960000	0.058535
paleogene-fast-10	29	5384139	0.990000	0.052171
paleogene-fast-10	30	264677	0.850000	0.234075
paleogene-fast-10	33	5076553	1.000000	0.000000
paleogene-fast-10	34	624389	0.500000	0.229565
paleogene-fast-10	37	1486584	0.000000	0.649195
paleogene-fast-10	39	710684	0.860000	0.153891
paleogene-fast-10	42	25327608	0.290000	0.210737
paleogene-fast-10	43	17179557	0.920000	0.052417
paleogene-fast-10	44	10036446	0.960000	0.052501
paleogene-fast-10	45	5187444	1.000000	0.000000
paleogene-fast-10	47	2113464	0.970000	0.158881
paleogene-fast-10	49	1109265	1.000000	0.000000
paleogene-fast-10	52	5288905	1.000000	0.000000
paleogene-fast-10	54	5083922	1.000000	0.000000
paleogene-fast-10	55	3657860	1.000000	0.000000
paleogene-fast-10	58	4165606	1.000000	0.000000
paleogene-fast-10	60	452749	0.990000	0.052546
paleogene-fast-10	62	130816	0.980000	0.052520
paleogene-fast-10	65	13678884	0.360000	0.187041
paleogene-fast-10	66	6475841	1.000000	0.000000
paleogene-fast-10	68	1466032	0.940000	0.084665
paleogene-fast-10	70	913089	0.940000	0.060675
paleogene-fast-10	73	10303324	0.800000	0.058536
paleogene-fast-10	75	8575962	1.000000	0.000000
paleogene-fast-10	76	3739963	1.000000	0.000000
paleogene-fast-10	78	166691	0.990000	0.052529
paleogene-fast-10	81	5883481	1.000000	0.000000
paleogene-fast-10	83	2690575	0.980000	0.052501
paleogene-fast-10	85	1842698	1.000000	0.000000
paleogene-fast-10	88	24446466	0.760000	0.105179
paleogene-fast-10	89	2503465	0.900000	0.094370
paleogene-fast-10	92	17420305	1.000000	0.000000
