# results from simulated data from project "project.tab"
# date: 2024-05-23T03:06:15-03:00
tree	node	age	pixels	farthest
paleogene-slow-0	0	52897920	0.420000	0.268885
paleogene-slow-0	1	33409279	0.260000	0.383330
paleogene-slow-0	2	21160253	0.880000	0.111398
paleogene-slow-0	3	17147274	0.950000	0.159777
paleogene-slow-0	5	16884870	0.940000	0.107825
paleogene-slow-0	7	11171108	0.980000	0.052528
paleogene-slow-0	10	8053892	0.670000	0.139723
paleogene-slow-0	11	1531992	0.860000	0.269855
paleogene-slow-0	14	7831129	0.740000	0.139723
paleogene-slow-0	16	7378393	0.790000	0.181373
paleogene-slow-0	17	2555418	0.910000	0.104727
paleogene-slow-0	20	4246816	0.810000	0.115702
paleogene-slow-0	22	2793802	0.920000	0.141233
paleogene-slow-0	25	29313431	0.480000	0.274767
paleogene-slow-0	26	14156509	0.350000	0.234247
paleogene-slow-0	27	5076464	0.810000	0.188185
paleogene-slow-0	30	10874441	0.240000	0.316859
paleogene-slow-0	32	7765701	0.430000	0.253720
paleogene-slow-0	35	28626821	0.640000	0.236017
paleogene-slow-0	37	25557967	0.490000	0.243808
paleogene-slow-0	38	20428487	0.720000	0.148024
paleogene-slow-0	39	10438568	0.970000	0.084637
paleogene-slow-0	42	15609955	0.770000	0.142570
paleogene-slow-0	44	14975379	0.890000	0.157568
paleogene-slow-0	47	18381223	0.540000	0.259016
paleogene-slow-0	48	5254815	0.950000	0.105202
paleogene-slow-0	51	14535683	0.850000	0.114869
paleogene-slow-0	53	7989752	0.930000	0.151525
paleogene-slow-0	55	7189103	0.960000	0.077435
paleogene-slow-0	57	6810478	0.910000	0.052643
paleogene-slow-0	59	4989070	0.960000	0.105611
paleogene-slow-0	62	51954412	0.640000	0.261863
paleogene-slow-0	63	1249165	0.900000	0.106266
paleogene-slow-0	66	49408252	0.850000	0.211177
paleogene-slow-0	67	48739797	0.890000	0.158051
paleogene-slow-0	68	41881856	0.970000	0.158597
paleogene-slow-0	70	13220216	0.970000	0.157469
paleogene-slow-0	72	3058995	0.850000	0.152048
paleogene-slow-0	74	969279	0.890000	0.105047
paleogene-slow-0	76	820821	0.920000	0.105047
paleogene-slow-0	79	19873208	0.260000	0.358747
paleogene-slow-0	81	17805077	0.360000	0.299953
paleogene-slow-0	82	9018886	0.790000	0.123657
paleogene-slow-0	84	4417601	0.940000	0.104740
paleogene-slow-0	87	17332387	0.360000	0.274195
paleogene-slow-0	88	11906607	0.580000	0.197696
paleogene-slow-0	90	8067218	0.940000	0.122442
paleogene-slow-0	93	4173950	0.850000	0.159771
paleogene-slow-0	94	3041200	0.870000	0.063907
paleogene-slow-0	97	736487	0.910000	0.148492
paleogene-slow-0	100	36199475	0.960000	0.053031
paleogene-slow-0	101	19550170	0.970000	0.052554
paleogene-slow-0	103	10901697	0.980000	0.086088
paleogene-slow-0	105	4197758	0.850000	0.110536
paleogene-slow-0	108	34023548	0.880000	0.157383
paleogene-slow-0	109	8465667	0.910000	0.123330
paleogene-slow-0	111	4165256	0.880000	0.170578
paleogene-slow-0	114	25820554	0.840000	0.158603
paleogene-slow-0	115	18670136	0.780000	0.159392
paleogene-slow-0	116	11592440	0.910000	0.156910
paleogene-slow-0	118	2180299	0.780000	0.185395
paleogene-slow-0	121	7880638	0.880000	0.179843
paleogene-slow-0	122	2534332	0.940000	0.066656
paleogene-slow-0	125	5498998	0.760000	0.138251
paleogene-slow-0	127	4260184	0.760000	0.143028
paleogene-slow-0	130	24191492	0.780000	0.122899
paleogene-slow-0	132	22078836	0.890000	0.118213
paleogene-slow-0	134	17512413	0.920000	0.104978
paleogene-slow-0	135	6145514	0.890000	0.259016
paleogene-slow-0	136	2552918	0.930000	0.176956
paleogene-slow-0	139	509822	0.840000	0.155749
paleogene-slow-0	142	15454148	0.920000	0.104783
paleogene-slow-0	143	11687000	0.810000	0.209785
paleogene-slow-0	144	6181669	0.910000	0.104630
paleogene-slow-0	147	11307991	0.860000	0.157277
paleogene-slow-0	148	2044835	0.880000	0.107621
paleogene-slow-0	151	7923849	0.930000	0.106544
paleogene-slow-0	153	669261	0.910000	0.104978
paleogene-slow-0	156	15004669	0.910000	0.104978
paleogene-slow-0	158	11286337	0.910000	0.155094
paleogene-slow-0	159	9280804	0.940000	0.148208
paleogene-slow-0	162	9264576	0.750000	0.226642
paleogene-slow-0	163	5478993	0.780000	0.184913
paleogene-slow-0	166	6528651	0.770000	0.163913
paleogene-slow-0	168	3415513	0.920000	0.054171
paleogene-slow-0	170	2798858	0.850000	0.106124
paleogene-slow-1	0	45883625	0.550000	0.209543
paleogene-slow-1	1	42710490	0.650000	0.179843
paleogene-slow-1	2	17711652	0.390000	0.198397
paleogene-slow-1	4	15503349	0.410000	0.210251
paleogene-slow-1	5	11321883	0.540000	0.158598
paleogene-slow-1	6	5631261	0.810000	0.105047
paleogene-slow-1	9	2713219	0.790000	0.092245
paleogene-slow-1	12	13245418	0.520000	0.210251
paleogene-slow-1	13	4619195	0.770000	0.131528
paleogene-slow-1	15	1172419	0.880000	0.056564
paleogene-slow-1	18	6828823	0.670000	0.157895
paleogene-slow-1	19	1158577	0.750000	0.160312
paleogene-slow-1	22	3015228	0.730000	0.135121
paleogene-slow-1	24	1352114	0.800000	0.157088
paleogene-slow-1	27	37549869	0.520000	0.157408
