# results from simulated data from project "project.tab"
# date: 2024-05-26T13:16:52-03:00
tree	node	age	pixels	farthest
triassic-fast-0	0	206814894	0.860000	0.052511
triassic-fast-0	1	149401368	0.410000	0.094370
triassic-fast-0	2	92802012	0.350000	0.111473
triassic-fast-0	3	15443324	0.950000	0.052546
triassic-fast-0	6	7085665	0.930000	0.052180
triassic-fast-0	9	112240602	0.740000	0.103891
triassic-fast-0	10	54621080	0.540000	0.143141
triassic-fast-0	12	41222889	0.730000	0.104875
triassic-fast-0	15	108428489	0.380000	0.105936
triassic-fast-0	16	37831372	0.630000	0.103774
triassic-fast-0	18	21840897	0.900000	0.052375
triassic-fast-0	19	7340621	0.290000	0.138993
triassic-fast-0	22	2049124	0.950000	0.052501
triassic-fast-0	25	102786903	0.910000	0.083491
triassic-fast-0	26	20976372	0.830000	0.055488
triassic-fast-0	28	3311333	0.980000	0.052529
triassic-fast-0	31	98640845	0.730000	0.104800
triassic-fast-0	33	88577507	0.810000	0.052529
triassic-fast-0	34	38522839	0.910000	0.058536
triassic-fast-0	36	6296002	0.100000	0.271209
triassic-fast-0	39	32204413	0.710000	0.094020
triassic-fast-0	40	32129117	0.270000	0.104327
triassic-fast-0	42	5985098	1.000000	0.000000
triassic-fast-0	45	21799618	0.940000	0.052459
triassic-fast-0	47	8059242	0.260000	0.135563
triassic-fast-0	49	972189	1.000000	0.000000
triassic-fast-0	52	185818320	0.670000	0.105624
triassic-fast-0	54	143854445	0.950000	0.067541
triassic-fast-0	55	28238608	0.660000	0.104999
triassic-fast-0	58	94688939	0.460000	0.089220
triassic-fast-0	59	11167188	0.400000	0.121498
triassic-fast-0	61	10944122	0.780000	0.069155
triassic-fast-0	63	10488363	0.980000	0.052528
triassic-fast-0	66	92698135	0.730000	0.097604
triassic-fast-0	67	34076235	0.610000	0.069850
triassic-fast-0	68	6437310	0.650000	0.053768
triassic-fast-0	71	1177373	0.700000	0.104736
triassic-fast-0	74	65312641	0.510000	0.102538
triassic-fast-0	75	37332485	0.290000	0.126022
triassic-fast-0	78	63074213	0.510000	0.104978
triassic-fast-0	79	40474341	0.870000	0.058535
triassic-fast-0	81	8100164	0.880000	0.106840
triassic-fast-0	84	59453610	0.850000	0.110677
triassic-fast-0	85	50228335	0.370000	0.105179
triassic-fast-0	87	417759	0.980000	0.094783
triassic-fast-0	90	57520928	0.930000	0.053539
triassic-fast-0	91	38424018	0.820000	0.087312
triassic-fast-0	93	752915	0.950000	0.157462
triassic-fast-0	96	55644757	0.700000	0.095998
triassic-fast-0	97	46454411	0.860000	0.104327
triassic-fast-0	99	25001370	0.960000	0.052511
triassic-fast-0	102	18211255	0.810000	0.104720
triassic-fast-0	104	11978590	0.750000	0.094370
triassic-fast-1	0	238043592	0.800000	0.140928
triassic-fast-1	1	202427560	0.890000	0.104783
triassic-fast-1	2	14436300	0.810000	0.101969
triassic-fast-1	5	56902548	0.910000	0.103985
triassic-fast-1	6	44944850	0.830000	0.052633
triassic-fast-1	9	39544905	0.530000	0.104783
triassic-fast-1	11	37422842	0.730000	0.105021
triassic-fast-1	14	230824374	0.580000	0.094363
triassic-fast-1	15	165960968	0.860000	0.052419
triassic-fast-1	16	130419872	0.600000	0.094087
triassic-fast-1	18	101834707	0.410000	0.107012
triassic-fast-1	21	97156070	0.610000	0.106908
triassic-fast-1	22	63911231	0.170000	0.138724
triassic-fast-1	23	24313734	0.380000	0.151196
triassic-fast-1	26	56420413	0.400000	0.108818
triassic-fast-1	28	26468827	0.740000	0.064443
triassic-fast-1	31	52978083	0.760000	0.089103
triassic-fast-1	32	44971767	0.700000	0.059397
triassic-fast-1	34	4517246	1.000000	0.000000
triassic-fast-1	37	49443324	0.900000	0.104626
triassic-fast-1	38	31964962	0.740000	0.091597
triassic-fast-1	41	5321308	1.000000	0.000000
triassic-fast-1	44	215960486	0.540000	0.106988
triassic-fast-1	45	192465603	0.810000	0.080764
triassic-fast-1	46	138081383	0.760000	0.125637
triassic-fast-1	48	39600818	0.790000	0.105732
triassic-fast-1	51	168170357	0.780000	0.058762
triassic-fast-1	53	102098104	0.280000	0.110688
triassic-fast-1	54	11811860	1.000000	0.000000
triassic-fast-1	56	3238178	0.920000	0.083810
triassic-fast-1	59	99755565	0.660000	0.108753
triassic-fast-1	61	25405235	0.980000	0.052501
triassic-fast-1	63	5407988	1.000000	0.000000
triassic-fast-1	66	212306430	0.860000	0.061598
triassic-fast-1	67	131457759	0.700000	0.056975
triassic-fast-1	68	70110420	0.730000	0.064403
triassic-fast-1	70	6811183	0.980000	0.052511
triassic-fast-1	72	6134831	1.000000	0.000000
triassic-fast-1	75	120446063	0.760000	0.067705
triassic-fast-1	76	47973973	0.780000	0.073812
triassic-fast-1	79	76037917	0.420000	0.104405
triassic-fast-1	81	70923543	0.690000	0.089349
triassic-fast-1	83	47294746	0.810000	0.094370
triassic-fast-1	86	194332786	0.790000	0.105287
triassic-fast-1	87	82514852	0.770000	0.052511
triassic-fast-1	88	75089552	0.610000	0.094370
triassic-fast-1	90	13771445	0.930000	0.107108
triassic-fast-1	93	44806560	0.800000	0.053292
triassic-fast-1	95	22493577	0.800000	0.052501
triassic-fast-1	98	173020530	0.670000	0.088067
triassic-fast-1	99	41124917	0.730000	0.132563
triassic-fast-1	101	34096392	0.450000	0.104884
triassic-fast-1	104	171554183	0.870000	0.057222
triassic-fast-1	106	133290046	0.300000	0.133468
triassic-fast-1	107	40375451	0.740000	0.094363
triassic-fast-1	109	38396307	0.880000	0.058536
triassic-fast-1	110	9775571	0.190000	0.176809
triassic-fast-1	112	1310623	1.000000	0.000000
triassic-fast-1	115	19177954	0.180000	0.129900
triassic-fast-1	116	15910635	0.810000	0.056891
triassic-fast-1	119	2608304	1.000000	0.000000
triassic-fast-1	122	120582928	0.810000	0.069437
triassic-fast-1	123	91576352	0.300000	0.158392
triassic-fast-1	124	38105669	0.850000	0.081214
triassic-fast-1	126	12383161	1.000000	0.000000
triassic-fast-1	129	26467712	0.800000	0.052529
triassic-fast-1	131	2693457	1.000000	0.000000
triassic-fast-1	134	66496645	0.170000	0.140940
triassic-fast-1	135	32356287	0.890000	0.091799
triassic-fast-1	137	19794467	0.900000	0.055057
triassic-fast-1	140	63599890	0.970000	0.052529
triassic-fast-1	142	42935553	0.350000	0.140928
triassic-fast-1	144	8467893	1.000000	0.000000
triassic-fast-1	145	7174472	0.990000	0.052546
triassic-fast-1	148	4381860	0.780000	0.104727
triassic-fast-10	0	216013434	0.880000	0.052417
triassic-fast-10	1	174810514	0.470000	0.107003
triassic-fast-10	3	100370276	0.710000	0.093853
triassic-fast-10	4	88531778	0.740000	0.077929
triassic-fast-10	7	99626307	0.780000	0.089209
triassic-fast-10	8	94837774	0.920000	0.052501
triassic-fast-10	10	53292452	0.560000	0.059327
triassic-fast-10	13	86893036	0.420000	0.104721
triassic-fast-10	14	19780348	0.650000	0.079205
triassic-fast-10	17	74310995	0.740000	0.095743
triassic-fast-10	18	5455864	0.950000	0.052529
triassic-fast-10	21	16633641	0.320000	0.104327
triassic-fast-10	23	1869893	0.950000	0.052019
triassic-fast-10	26	166463578	0.390000	0.104576
triassic-fast-10	28	148360775	0.730000	0.106769
triassic-fast-10	29	148146476	0.230000	0.143218
triassic-fast-10	30	74627879	0.660000	0.075969
triassic-fast-10	31	5193203	0.790000	0.104933
triassic-fast-10	33	1407017	1.000000	0.000000
triassic-fast-10	36	30436224	0.920000	0.054712
triassic-fast-10	37	21614347	0.950000	0.076432
triassic-fast-10	40	14785922	0.370000	0.133300
triassic-fast-10	43	128793670	0.750000	0.084073
triassic-fast-10	44	84766549	0.950000	0.104636
triassic-fast-10	46	28694424	0.660000	0.093025
triassic-fast-10	49	96164198	0.930000	0.058536
triassic-fast-10	51	54775432	0.220000	0.157092
triassic-fast-10	52	19301915	0.850000	0.104736
triassic-fast-10	54	17341869	0.600000	0.105074
triassic-fast-10	57	37012551	0.640000	0.140940
triassic-fast-10	59	35801537	0.900000	0.052546
triassic-fast-10	61	25977790	0.880000	0.059280
triassic-fast-10	63	20524835	0.560000	0.094370
triassic-fast-10	65	11524664	0.620000	0.067838
triassic-fast-10	67	3716646	0.970000	0.052324
triassic-fast-10	70	131352503	0.800000	0.094370
triassic-fast-10	71	105089804	0.600000	0.094370
triassic-fast-10	72	48507680	0.490000	0.108426
triassic-fast-10	74	27575044	0.850000	0.091706
triassic-fast-10	77	64261190	0.890000	0.088571
triassic-fast-10	78	42021604	0.970000	0.052417
triassic-fast-10	81	44660291	0.680000	0.080048
triassic-fast-10	83	27197352	0.550000	0.101462
triassic-fast-10	84	12737819	0.710000	0.094261
triassic-fast-10	87	24137649	0.860000	0.102932
triassic-fast-10	88	8463989	0.790000	0.082160
triassic-fast-10	91	20482952	0.820000	0.052398
triassic-fast-10	92	13961259	0.780000	0.085320
triassic-fast-10	95	16389824	0.760000	0.067838
triassic-fast-10	97	2925546	0.990000	0.052511
triassic-fast-10	100	98047270	0.320000	0.153036
triassic-fast-10	101	97929850	0.720000	0.094370
triassic-fast-10	103	63710761	0.800000	0.055238
triassic-fast-10	104	44331583	0.680000	0.104724
triassic-fast-10	107	25815839	0.810000	0.061854
triassic-fast-10	109	14061514	0.860000	0.148874
triassic-fast-10	111	6426940	0.960000	0.072801
triassic-fast-10	114	92406551	0.410000	0.110779
triassic-fast-10	115	78895865	0.410000	0.124280
triassic-fast-10	116	3060045	1.000000	0.000000
triassic-fast-10	119	51213445	0.720000	0.052546
triassic-fast-10	121	21031955	0.670000	0.077684
triassic-fast-10	123	19260142	0.540000	0.078096
triassic-fast-10	125	300964	1.000000	0.000000
triassic-fast-10	128	68431528	0.820000	0.094370
triassic-fast-10	129	11323940	0.430000	0.104831
triassic-fast-10	132	63410720	0.610000	0.104327
triassic-fast-10	134	51677266	0.560000	0.094363
triassic-fast-10	135	10244107	0.660000	0.105056
triassic-fast-10	138	16063423	0.880000	0.105156
triassic-fast-10	140	12172713	0.600000	0.099659
triassic-fast-11	0	237977422	0.860000	0.091052
triassic-fast-11	1	171487079	0.410000	0.107499
triassic-fast-11	2	101734202	0.650000	0.105695
triassic-fast-11	4	89072658	0.580000	0.101289
triassic-fast-11	7	168387908	0.560000	0.132988
triassic-fast-11	8	111439369	0.840000	0.084243
triassic-fast-11	10	42960730	0.830000	0.071227
triassic-fast-11	11	9070619	1.000000	0.000000
triassic-fast-11	14	890531	0.490000	0.105400
triassic-fast-11	17	123747707	0.710000	0.080062
triassic-fast-11	19	82366715	0.580000	0.104978
triassic-fast-11	20	77468207	0.930000	0.064914
triassic-fast-11	21	381697	1.000000	0.000000
triassic-fast-11	24	54446850	0.410000	0.111542
triassic-fast-11	26	52840471	0.770000	0.137416
triassic-fast-11	27	43045284	0.970000	0.052417
triassic-fast-11	30	28727094	0.670000	0.104740
triassic-fast-11	32	14212682	0.910000	0.096532
triassic-fast-11	35	71040581	0.580000	0.101914
triassic-fast-11	37	61102364	0.980000	0.052384
triassic-fast-11	39	59611833	0.710000	0.126488
triassic-fast-11	41	56622217	0.650000	0.058535
triassic-fast-11	42	53928902	0.650000	0.091009
triassic-fast-11	45	26813971	0.400000	0.106780
triassic-fast-11	47	3863070	1.000000	0.000000
triassic-fast-11	50	128573942	0.560000	0.139092
triassic-fast-11	51	116899066	0.560000	0.106914
triassic-fast-11	52	83039996	0.850000	0.053031
triassic-fast-11	55	116297317	0.530000	0.103944
triassic-fast-11	57	104044978	0.300000	0.140127
triassic-fast-11	58	60569898	0.660000	0.104720
triassic-fast-11	61	33691030	0.770000	0.105047
triassic-fast-11	64	95159227	0.890000	0.071677
triassic-fast-11	65	86008323	0.930000	0.052511
triassic-fast-11	66	70160401	0.870000	0.064914
triassic-fast-11	67	25912048	0.950000	0.052320
triassic-fast-11	70	22571783	0.590000	0.106907
triassic-fast-11	73	66715195	0.720000	0.103944
triassic-fast-11	74	47904493	0.480000	0.094363
triassic-fast-11	76	29764038	0.550000	0.071227
triassic-fast-11	79	61420146	0.740000	0.053226
triassic-fast-11	80	44860082	0.520000	0.104630
triassic-fast-11	83	20511848	0.920000	0.058535
triassic-fast-11	86	84665984	0.550000	0.058535
triassic-fast-11	87	58121829	0.540000	0.104728
triassic-fast-11	89	19434416	0.460000	0.104626
triassic-fast-11	92	69363233	0.730000	0.090177
triassic-fast-11	93	66362577	0.760000	0.094363
triassic-fast-11	95	30076579	0.550000	0.133771
triassic-fast-11	97	2607407	1.000000	0.000000
triassic-fast-11	100	48284839	0.660000	0.104783
triassic-fast-11	101	3969625	0.110000	0.168101
triassic-fast-11	104	3895680	0.990000	0.052529
triassic-fast-12	0	202462930	0.380000	0.157702
triassic-fast-12	1	169686331	0.670000	0.104354
triassic-fast-12	2	93160896	0.890000	0.069854
triassic-fast-12	4	19848565	0.760000	0.089203
triassic-fast-12	6	16175577	0.720000	0.077640
triassic-fast-12	8	729825	1.000000	0.000000
triassic-fast-12	11	160560865	0.660000	0.105790
triassic-fast-12	12	37998206	0.970000	0.052362
triassic-fast-12	15	154778899	0.650000	0.138245
triassic-fast-12	16	66938761	0.600000	0.105706
triassic-fast-12	18	20977515	0.930000	0.092724
triassic-fast-12	20	3016790	0.790000	0.104978
triassic-fast-12	23	111071425	0.810000	0.052324
triassic-fast-12	24	81649502	0.950000	0.080048
triassic-fast-12	27	17129006	0.870000	0.098151
triassic-fast-12	29	16161970	0.630000	0.104636
triassic-fast-12	31	5492175	0.870000	0.058280
triassic-fast-12	34	182930814	0.410000	0.140940
triassic-fast-12	35	107974218	0.710000	0.106956
triassic-fast-12	36	23635115	0.790000	0.092177
triassic-fast-12	37	18527977	0.430000	0.106151
triassic-fast-12	40	6941511	0.990000	0.052122
triassic-fast-12	43	80627939	0.880000	0.094370
triassic-fast-12	44	41824720	0.350000	0.161751
triassic-fast-12	47	43135914	0.130000	0.149730
triassic-fast-12	49	24166712	0.540000	0.067599
triassic-fast-12	52	182201075	0.850000	0.058536
triassic-fast-12	53	12401184	0.920000	0.052373
triassic-fast-12	56	144728212	0.790000	0.072787
triassic-fast-12	57	106702628	0.930000	0.086114
triassic-fast-12	59	43248234	0.780000	0.068616
triassic-fast-12	61	31444463	0.520000	0.116079
triassic-fast-12	64	89181157	0.920000	0.052653
triassic-fast-12	65	20180044	0.960000	0.052171
triassic-fast-12	67	2057279	0.680000	0.054738
triassic-fast-12	70	84102256	0.860000	0.052501
triassic-fast-12	71	81767734	0.770000	0.067338
triassic-fast-12	72	19082139	0.820000	0.092346
triassic-fast-12	74	18527619	0.630000	0.096133
triassic-fast-12	77	70345274	0.900000	0.052801
triassic-fast-12	78	59503868	0.280000	0.104630
triassic-fast-12	81	8543371	0.650000	0.098936
triassic-fast-12	82	7118408	0.670000	0.099684
triassic-fast-12	85	2200022	0.680000	0.058080
triassic-fast-12	88	78011716	0.590000	0.110927
triassic-fast-12	89	49818720	0.600000	0.104726
triassic-fast-12	91	14507500	0.810000	0.105992
triassic-fast-12	93	10139571	0.800000	0.052529
triassic-fast-12	96	45108658	0.890000	0.054300
triassic-fast-12	97	30856575	0.960000	0.052288
triassic-fast-12	100	44499899	0.460000	0.113215
triassic-fast-12	102	25340293	0.830000	0.053456
triassic-fast-13	0	208775036	0.800000	0.082982
triassic-fast-13	1	67614924	0.980000	0.056442
triassic-fast-13	4	193186739	0.930000	0.052320
triassic-fast-13	5	81707171	0.560000	0.143083
triassic-fast-13	6	33824811	0.630000	0.125522
triassic-fast-13	7	18398484	0.100000	0.167203
triassic-fast-13	10	12073338	0.990000	0.052501
triassic-fast-13	13	59343349	0.700000	0.107093
triassic-fast-13	14	59329608	0.670000	0.098314
triassic-fast-13	16	17918523	0.810000	0.112309
triassic-fast-13	19	16605444	0.450000	0.094370
triassic-fast-13	21	3301449	0.980000	0.052501
triassic-fast-13	24	190711824	0.620000	0.104831
triassic-fast-13	25	137474581	0.930000	0.052546
triassic-fast-13	26	79699551	0.650000	0.104962
triassic-fast-13	27	26754977	0.820000	0.088933
triassic-fast-13	29	26448325	0.440000	0.085079
triassic-fast-13	31	15437313	0.990000	0.052482
triassic-fast-13	34	61034718	0.660000	0.143300
triassic-fast-13	35	49211344	0.420000	0.095680
triassic-fast-13	38	48565823	0.740000	0.058536
triassic-fast-13	39	38165600	0.710000	0.104720
triassic-fast-13	41	4585439	1.000000	0.000000
triassic-fast-13	44	34960792	0.540000	0.098213
triassic-fast-13	46	2100876	0.940000	0.052819
triassic-fast-13	49	113339073	0.550000	0.111270
triassic-fast-13	50	100971329	0.810000	0.092938
triassic-fast-13	51	11136110	0.450000	0.109543
triassic-fast-13	54	85126155	0.900000	0.052417
triassic-fast-13	55	3899936	1.000000	0.000000
triassic-fast-13	57	3202467	1.000000	0.000000
triassic-fast-13	60	46785564	0.840000	0.069014
triassic-fast-13	62	39152127	0.650000	0.104491
triassic-fast-13	63	26713450	0.660000	0.118397
triassic-fast-13	66	37774220	0.910000	0.052529
triassic-fast-13	68	32500932	0.950000	0.052511
triassic-fast-13	70	9509140	1.000000	0.000000
triassic-fast-13	72	9261603	0.990000	0.052005
triassic-fast-13	75	81021237	0.650000	0.095998
triassic-fast-13	76	73344477	0.870000	0.053796
triassic-fast-13	78	23876059	0.980000	0.052171
triassic-fast-13	80	19277730	0.970000	0.054916
triassic-fast-13	83	65810729	0.950000	0.052397
triassic-fast-13	85	50740583	0.810000	0.104327
triassic-fast-13	86	13996914	0.990000	0.052171
triassic-fast-13	89	34002159	0.560000	0.156453
triassic-fast-13	91	19070971	0.520000	0.104720
triassic-fast-13	93	12841964	0.830000	0.082982
triassic-fast-13	95	7269841	0.650000	0.068616
triassic-fast-13	97	6401030	1.000000	0.000000
triassic-fast-13	100	128005062	0.390000	0.108568
triassic-fast-13	101	80116352	0.920000	0.052375
triassic-fast-13	103	68548574	0.640000	0.131301
triassic-fast-13	104	10449216	0.820000	0.104630
triassic-fast-13	107	63100453	0.750000	0.090124
triassic-fast-13	109	59170918	0.490000	0.113091
triassic-fast-13	110	46913515	0.910000	0.092724
triassic-fast-13	113	28084120	0.740000	0.084637
triassic-fast-13	116	109511844	0.850000	0.101632
triassic-fast-13	117	91160669	0.530000	0.106167
triassic-fast-13	118	24228114	0.770000	0.093937
triassic-fast-13	120	19690710	0.830000	0.058535
triassic-fast-13	123	62992583	0.410000	0.105056
triassic-fast-13	125	61150181	0.680000	0.105207
triassic-fast-13	126	36269264	0.310000	0.105179
triassic-fast-13	128	11266578	0.850000	0.104630
triassic-fast-13	130	4595722	0.500000	0.156407
triassic-fast-13	133	53779722	0.810000	0.058536
triassic-fast-13	134	44998759	0.640000	0.094370
triassic-fast-13	136	21830873	0.490000	0.106569
triassic-fast-13	138	15999727	0.650000	0.059664
triassic-fast-13	141	11238394	0.140000	0.229239
triassic-fast-13	143	1906654	0.900000	0.104491
triassic-fast-13	145	1858667	0.840000	0.105179
triassic-fast-13	148	105298229	0.910000	0.052546
