# results from simulated data from project "project.tab"
# date: 2024-05-26T13:14:32-03:00
tree	node	age	pixels	farthest
triassic-slow-0	0	215509146	0.400000	0.140940
triassic-slow-0	1	189045613	0.380000	0.188726
triassic-slow-0	2	140971773	0.980000	0.052364
triassic-slow-0	3	32237677	1.000000	0.000000
triassic-slow-0	5	24094010	1.000000	0.000000
triassic-slow-0	8	117353424	0.580000	0.094370
triassic-slow-0	9	62097761	1.000000	0.000000
triassic-slow-0	11	21041085	0.910000	0.098011
triassic-slow-0	14	29475645	0.980000	0.055296
triassic-slow-0	16	8133728	1.000000	0.000000
triassic-slow-0	19	126991230	1.000000	0.000000
triassic-slow-0	21	119207506	1.000000	0.000000
triassic-slow-0	22	11997450	1.000000	0.000000
triassic-slow-0	25	117771463	1.000000	0.000000
triassic-slow-0	26	785439	0.940000	0.123730
triassic-slow-0	29	110104646	1.000000	0.000000
triassic-slow-0	30	72557769	1.000000	0.000000
triassic-slow-0	32	21658562	0.980000	0.102952
triassic-slow-0	34	6039488	0.920000	0.127405
triassic-slow-0	36	2664623	0.910000	0.104733
triassic-slow-0	39	96614028	1.000000	0.000000
triassic-slow-0	41	73216396	0.950000	0.104720
triassic-slow-0	42	1078934	0.950000	0.112110
triassic-slow-0	45	57169462	0.980000	0.052511
triassic-slow-0	47	9487555	1.000000	0.000000
triassic-slow-0	50	168793829	0.300000	0.257755
triassic-slow-0	51	138333763	0.930000	0.052501
triassic-slow-0	52	56677452	0.980000	0.058536
triassic-slow-0	53	54267618	0.940000	0.054429
triassic-slow-0	56	53590969	0.910000	0.129985
triassic-slow-0	59	100856312	0.890000	0.137590
triassic-slow-0	60	74927584	0.990000	0.052375
triassic-slow-0	62	40349507	0.960000	0.146873
triassic-slow-0	64	25127613	1.000000	0.000000
triassic-slow-0	66	23382208	1.000000	0.000000
triassic-slow-0	68	6420257	0.820000	0.208288
triassic-slow-0	71	100414610	0.850000	0.112391
triassic-slow-0	72	36351587	1.000000	0.000000
triassic-slow-0	75	91034651	0.810000	0.192903
triassic-slow-0	76	88368692	0.690000	0.232663
triassic-slow-0	78	51717849	0.990000	0.052375
triassic-slow-0	80	39575535	1.000000	0.000000
triassic-slow-0	83	24906222	0.990000	0.083866
triassic-slow-0	85	22575985	1.000000	0.000000
triassic-slow-0	87	20669042	1.000000	0.000000
triassic-slow-0	89	17705095	1.000000	0.000000
triassic-slow-0	91	1898758	0.940000	0.086066
