# results from simulated data from project "project.tab"
# date: 2024-05-25T14:53:07-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-avg-0	79	245.507	80.470945	97.070312
triassic-avg-1	64	217.429	65.868833	85.839844
triassic-avg-10	81	227.007	29.189599	25.781250
triassic-avg-11	92	223.018	38.894761	41.406250
triassic-avg-12	81	243.529	84.192995	105.371094
triassic-avg-13	54	206.654	74.094572	88.281250
triassic-avg-14	80	223.969	88.516547	87.304688
triassic-avg-15	64	208.853	49.857262	51.660156
triassic-avg-16	92	227.051	81.100109	127.832031
triassic-avg-17	73	233.837	53.516977	60.449219
triassic-avg-18	81	213.966	57.064780	75.585938
triassic-avg-19	96	203.855	85.557345	113.671875
triassic-avg-2	69	226.210	17.520372	23.828125
triassic-avg-20	66	216.797	39.330266	45.800781
triassic-avg-21	92	220.559	27.397773	28.222656
triassic-avg-22	53	204.419	45.397470	64.355469
triassic-avg-23	98	248.331	43.465351	59.472656
triassic-avg-24	77	218.095	49.993927	65.332031
triassic-avg-25	74	215.578	85.798841	103.906250
triassic-avg-26	55	224.580	15.171603	8.203125
triassic-avg-27	76	224.207	12.517985	16.992188
triassic-avg-28	59	219.687	76.506600	89.746094
triassic-avg-29	91	230.698	52.798327	61.914062
triassic-avg-3	66	202.248	69.214721	69.726562
triassic-avg-30	83	230.443	10.228608	11.132812
triassic-avg-31	99	243.911	99.588747	101.953125
triassic-avg-32	95	216.571	33.239734	38.964844
triassic-avg-33	94	246.767	89.782825	106.835938
triassic-avg-34	64	226.787	65.707984	68.261719
triassic-avg-35	53	216.898	88.010388	89.257812
triassic-avg-36	65	201.886	44.773376	54.589844
triassic-avg-37	73	236.521	94.055670	184.960938
triassic-avg-38	81	224.402	68.994022	83.398438
triassic-avg-39	51	235.737	99.396812	168.847656
triassic-avg-4	72	201.442	37.597821	59.472656
triassic-avg-40	84	226.783	86.504156	99.023438
triassic-avg-41	50	231.291	43.489149	49.707031
triassic-avg-42	62	204.935	13.814612	21.386719
triassic-avg-43	72	239.759	12.497343	13.574219
triassic-avg-44	55	242.059	70.050428	88.769531
triassic-avg-45	50	209.023	60.816581	72.656250
triassic-avg-46	86	213.697	22.809794	29.687500
triassic-avg-47	58	229.320	84.986242	125.390625
triassic-avg-48	72	203.700	37.538688	40.917969
triassic-avg-49	83	217.387	88.027169	140.527344
triassic-avg-5	87	209.085	27.404083	43.359375
triassic-avg-6	50	221.551	30.764884	46.289062
triassic-avg-7	52	245.355	93.932060	120.507812
triassic-avg-8	63	218.579	49.228076	78.027344
triassic-avg-9	60	207.328	59.764748	53.125000
