# results from simulated data from project "project.tab"
# date: 2024-05-26T01:46:10-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-fast-0	54	206.815	4.917840	8.691406
triassic-fast-1	76	238.044	8.551366	10.644531
triassic-fast-10	72	216.013	5.416373	1.367188
triassic-fast-11	54	237.977	2.334021	2.343750
triassic-fast-12	53	202.463	2.721517	0.878906
triassic-fast-13	91	208.775	8.297519	11.132812
triassic-fast-14	51	231.275	2.407949	5.761719
triassic-fast-15	50	243.191	8.643692	16.015625
triassic-fast-16	98	220.287	4.314656	8.691406
triassic-fast-17	87	241.717	9.776017	13.574219
triassic-fast-18	85	238.430	5.755298	8.203125
triassic-fast-19	78	209.647	2.168185	1.367188
triassic-fast-2	57	208.483	7.789600	11.132812
triassic-fast-20	88	225.706	3.822847	1.855469
triassic-fast-21	75	225.157	9.852800	14.550781
triassic-fast-22	77	223.946	5.914312	11.132812
triassic-fast-23	81	249.793	2.645381	0.390625
triassic-fast-24	67	240.940	4.638679	4.785156
triassic-fast-25	58	221.485	1.968995	1.367188
triassic-fast-26	72	240.828	4.311121	8.203125
triassic-fast-27	85	226.075	8.982905	13.085938
triassic-fast-28	57	247.591	2.906167	9.179688
triassic-fast-29	82	219.281	2.711957	3.320312
triassic-fast-3	92	207.414	3.089388	6.738281
triassic-fast-30	79	212.615	3.063831	1.367188
triassic-fast-31	94	240.683	9.317552	24.316406
triassic-fast-32	72	211.096	8.654877	9.179688
triassic-fast-33	96	211.265	1.850012	3.808594
triassic-fast-34	60	232.748	9.191648	10.156250
triassic-fast-35	68	216.005	9.458544	9.667969
triassic-fast-36	63	202.300	2.432091	3.320312
triassic-fast-37	63	208.166	8.412895	14.062500
triassic-fast-38	59	251.458	8.912971	11.132812
triassic-fast-39	77	245.425	1.251780	0.878906
triassic-fast-4	84	205.342	8.100273	10.156250
triassic-fast-40	52	251.619	8.858974	12.597656
triassic-fast-41	62	218.195	9.796103	11.621094
triassic-fast-42	72	229.395	4.977937	6.738281
triassic-fast-43	70	249.850	3.688088	3.320312
triassic-fast-44	89	217.245	6.126618	8.203125
triassic-fast-45	75	203.307	4.900849	4.296875
triassic-fast-46	98	222.395	6.888894	7.714844
triassic-fast-47	62	222.120	6.403227	11.621094
triassic-fast-48	61	201.080	1.205124	0.878906
triassic-fast-49	100	245.417	3.660871	5.273438
triassic-fast-5	76	249.652	1.844076	5.273438
triassic-fast-6	54	211.962	9.297116	13.085938
triassic-fast-7	75	227.839	4.417020	4.785156
triassic-fast-8	75	223.019	9.431358	7.226562
triassic-fast-9	60	227.957	5.370341	4.296875
