# results from simulated data from project "project.tab"
# date: 2024-05-25T01:20:14-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-slow-0	76	215.509	275.628245	374.414062
triassic-slow-1	51	241.208	388.453764	648.339844
triassic-slow-10	97	240.864	327.476630	345.605469
triassic-slow-11	92	230.365	351.638599	515.039062
triassic-slow-12	91	249.419	584.846780	882.226562
triassic-slow-13	50	232.522	393.790132	508.691406
triassic-slow-14	58	202.951	222.629377	298.242188
triassic-slow-15	52	211.319	160.269534	174.707031
triassic-slow-16	94	217.491	918.463948	1435.937500
triassic-slow-17	58	213.349	691.477381	1789.941406
triassic-slow-18	76	240.969	134.429130	245.996094
triassic-slow-19	96	201.674	647.796659	965.722656
triassic-slow-2	73	231.837	527.483076	876.367188
triassic-slow-20	62	220.700	222.410101	326.074219
triassic-slow-21	66	222.390	369.692414	581.445312
triassic-slow-22	86	242.354	500.661720	826.562500
triassic-slow-23	93	209.869	906.579449	1450.097656
triassic-slow-24	86	244.517	858.398555	1853.417969
triassic-slow-25	95	250.967	979.895883	1233.300781
triassic-slow-26	92	245.286	111.993241	123.925781
triassic-slow-27	53	202.239	650.784335	1101.953125
triassic-slow-28	84	223.970	555.753451	984.765625
triassic-slow-29	71	217.807	706.573006	1405.175781
triassic-slow-3	52	209.500	453.118099	985.742188
triassic-slow-30	50	229.952	126.843377	165.917969
triassic-slow-31	69	203.193	871.130929	1140.039062
triassic-slow-32	73	218.551	832.202558	1411.035156
triassic-slow-33	85	245.698	329.950501	481.347656
triassic-slow-34	89	225.412	760.716431	1347.558594
triassic-slow-35	100	202.770	593.015286	684.472656
triassic-slow-36	63	215.640	968.766974	1753.320312
triassic-slow-37	70	202.876	600.284375	934.960938
triassic-slow-38	59	224.670	159.709227	265.527344
triassic-slow-39	72	224.495	815.520154	1325.585938
triassic-slow-4	94	215.300	360.180718	450.585938
triassic-slow-40	50	249.998	330.162361	558.496094
triassic-slow-41	82	209.077	653.202157	1672.265625
triassic-slow-42	66	251.771	126.519348	179.589844
triassic-slow-43	75	237.427	684.664692	1615.136719
triassic-slow-44	84	238.945	289.165443	410.058594
triassic-slow-45	69	248.070	244.697841	327.539062
triassic-slow-46	54	224.728	669.070899	1018.457031
triassic-slow-47	54	244.740	841.376769	1121.484375
triassic-slow-48	61	209.809	365.297489	562.890625
triassic-slow-49	82	222.745	800.419679	1422.265625
triassic-slow-5	94	251.483	589.113404	752.343750
triassic-slow-6	99	209.286	978.263218	2007.714844
triassic-slow-7	83	202.252	417.314963	527.734375
triassic-slow-8	93	210.659	630.174553	874.414062
triassic-slow-9	68	205.445	487.166805	630.273438
