# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:55:09-03:00
tree	node	parent	age	taxon
triassic-slow-0	0	-1	215509146	
triassic-slow-0	1	0	189045613	
triassic-slow-0	2	1	140971773	
triassic-slow-0	3	2	32237677	
triassic-slow-0	4	3	0	Term0
triassic-slow-0	5	3	24094010	
triassic-slow-0	6	5	0	Term1
triassic-slow-0	7	5	0	Term2
triassic-slow-0	8	2	117353424	
triassic-slow-0	9	8	62097761	
triassic-slow-0	10	9	0	Term8
triassic-slow-0	11	9	21041085	
triassic-slow-0	12	11	0	Term6
triassic-slow-0	13	11	0	Term7
triassic-slow-0	14	8	29475645	
triassic-slow-0	15	14	0	Term5
triassic-slow-0	16	14	8133728	
triassic-slow-0	17	16	0	Term3
triassic-slow-0	18	16	0	Term4
triassic-slow-0	19	1	126991230	
triassic-slow-0	20	19	0	Term24
triassic-slow-0	21	19	119207506	
triassic-slow-0	22	21	11997450	
triassic-slow-0	23	22	0	Term22
triassic-slow-0	24	22	0	Term23
triassic-slow-0	25	21	117771463	
triassic-slow-0	26	25	785439	
triassic-slow-0	27	26	0	Term20
triassic-slow-0	28	26	0	Term21
triassic-slow-0	29	25	110104646	
triassic-slow-0	30	29	72557769	
triassic-slow-0	31	30	0	Term13
triassic-slow-0	32	30	21658562	
triassic-slow-0	33	32	0	Term9
triassic-slow-0	34	32	6039488	
triassic-slow-0	35	34	0	Term10
triassic-slow-0	36	34	2664623	
triassic-slow-0	37	36	0	Term11
triassic-slow-0	38	36	0	Term12
triassic-slow-0	39	29	96614028	
triassic-slow-0	40	39	0	Term19
triassic-slow-0	41	39	73216396	
triassic-slow-0	42	41	1078934	
triassic-slow-0	43	42	0	Term14
triassic-slow-0	44	42	0	Term15
triassic-slow-0	45	41	57169462	
triassic-slow-0	46	45	0	Term16
triassic-slow-0	47	45	9487555	
triassic-slow-0	48	47	0	Term17
triassic-slow-0	49	47	0	Term18
triassic-slow-0	50	0	168793829	
triassic-slow-0	51	50	138333763	
triassic-slow-0	52	51	56677452	
triassic-slow-0	53	52	54267618	
triassic-slow-0	54	53	0	Term25
triassic-slow-0	55	53	0	Term26
triassic-slow-0	56	52	53590969	
triassic-slow-0	57	56	0	Term27
triassic-slow-0	58	56	0	Term28
triassic-slow-0	59	51	100856312	
triassic-slow-0	60	59	74927584	
triassic-slow-0	61	60	0	Term34
triassic-slow-0	62	60	40349507	
triassic-slow-0	63	62	0	Term33
triassic-slow-0	64	62	25127613	
triassic-slow-0	65	64	0	Term32
triassic-slow-0	66	64	23382208	
triassic-slow-0	67	66	0	Term29
triassic-slow-0	68	66	6420257	
triassic-slow-0	69	68	0	Term30
triassic-slow-0	70	68	0	Term31
triassic-slow-0	71	59	100414610	
triassic-slow-0	72	71	36351587	
triassic-slow-0	73	72	0	Term35
triassic-slow-0	74	72	0	Term36
triassic-slow-0	75	71	91034651	
triassic-slow-0	76	75	88368692	
triassic-slow-0	77	76	0	Term46
triassic-slow-0	78	76	51717849	
triassic-slow-0	79	78	0	Term43
triassic-slow-0	80	78	39575535	
triassic-slow-0	81	80	0	Term44
triassic-slow-0	82	80	0	Term45
triassic-slow-0	83	75	24906222	
triassic-slow-0	84	83	0	Term42
triassic-slow-0	85	83	22575985	
triassic-slow-0	86	85	0	Term37
triassic-slow-0	87	85	20669042	
triassic-slow-0	88	87	0	Term38
triassic-slow-0	89	87	17705095	
triassic-slow-0	90	89	0	Term39
triassic-slow-0	91	89	1898758	
triassic-slow-0	92	91	0	Term40
triassic-slow-0	93	91	0	Term41
triassic-slow-0	94	50	119010462	
triassic-slow-0	95	94	98018894	
triassic-slow-0	96	95	61894500	
triassic-slow-0	97	96	0	Term75
triassic-slow-0	98	96	43722925	
triassic-slow-0	99	98	0	Term73
triassic-slow-0	100	98	0	Term74
triassic-slow-0	101	95	96493635	
triassic-slow-0	102	101	49021192	
triassic-slow-0	103	102	0	Term69
triassic-slow-0	104	102	3496725	
triassic-slow-0	105	104	0	Term67
triassic-slow-0	106	104	0	Term68
triassic-slow-0	107	101	18607935	
triassic-slow-0	108	107	0	Term70
triassic-slow-0	109	107	14069943	
triassic-slow-0	110	109	0	Term71
triassic-slow-0	111	109	0	Term72
triassic-slow-0	112	94	116543008	
triassic-slow-0	113	112	68875036	
triassic-slow-0	114	113	0	Term66
triassic-slow-0	115	113	68290154	
triassic-slow-0	116	115	0	Term60
triassic-slow-0	117	115	43105088	
triassic-slow-0	118	117	0	Term61
triassic-slow-0	119	117	22929073	
triassic-slow-0	120	119	12572224	
triassic-slow-0	121	120	0	Term62
triassic-slow-0	122	120	0	Term63
triassic-slow-0	123	119	11242889	
triassic-slow-0	124	123	0	Term64
triassic-slow-0	125	123	0	Term65
triassic-slow-0	126	112	94482908	
triassic-slow-0	127	126	0	Term47
triassic-slow-0	128	126	68652015	
triassic-slow-0	129	128	47038733	
triassic-slow-0	130	129	0	Term51
triassic-slow-0	131	129	38361411	
triassic-slow-0	132	131	0	Term50
triassic-slow-0	133	131	9862785	
triassic-slow-0	134	133	0	Term48
triassic-slow-0	135	133	0	Term49
triassic-slow-0	136	128	66939557	
triassic-slow-0	137	136	30802004	
triassic-slow-0	138	137	0	Term59
triassic-slow-0	139	137	6000070	
triassic-slow-0	140	139	0	Term57
triassic-slow-0	141	139	0	Term58
triassic-slow-0	142	136	48648519	
triassic-slow-0	143	142	0	Term52
triassic-slow-0	144	142	25039541	
triassic-slow-0	145	144	18891358	
triassic-slow-0	146	145	0	Term55
triassic-slow-0	147	145	0	Term56
triassic-slow-0	148	144	4738590	
triassic-slow-0	149	148	0	Term53
triassic-slow-0	150	148	0	Term54
triassic-slow-1	0	-1	241207626	
triassic-slow-1	1	0	165006330	
triassic-slow-1	2	1	108650225	
triassic-slow-1	3	2	0	Term44
triassic-slow-1	4	2	84780486	
triassic-slow-1	5	4	11647750	
triassic-slow-1	6	5	0	Term49
triassic-slow-1	7	5	0	Term50
triassic-slow-1	8	4	31793386	
triassic-slow-1	9	8	4320883	
triassic-slow-1	10	9	0	Term45
triassic-slow-1	11	9	0	Term46
triassic-slow-1	12	8	862035	
triassic-slow-1	13	12	0	Term47
triassic-slow-1	14	12	0	Term48
triassic-slow-1	15	1	146383687	
triassic-slow-1	16	15	0	Term35
triassic-slow-1	17	15	84940126	
triassic-slow-1	18	17	57040615	
triassic-slow-1	19	18	0	Term36
triassic-slow-1	20	18	39754794	
triassic-slow-1	21	20	0	Term37
triassic-slow-1	22	20	0	Term38
triassic-slow-1	23	17	57472938	
triassic-slow-1	24	23	0	Term39
triassic-slow-1	25	23	38476918	
triassic-slow-1	26	25	20638281	
triassic-slow-1	27	26	0	Term42
triassic-slow-1	28	26	0	Term43
triassic-slow-1	29	25	6065941	
triassic-slow-1	30	29	0	Term40
triassic-slow-1	31	29	0	Term41
triassic-slow-1	32	0	235825823	
triassic-slow-1	33	32	196529831	
triassic-slow-1	34	33	36631818	
triassic-slow-1	35	34	0	Term33
triassic-slow-1	36	34	0	Term34
triassic-slow-1	37	33	178661126	
triassic-slow-1	38	37	9168232	
triassic-slow-1	39	38	0	Term23
triassic-slow-1	40	38	7288899	
triassic-slow-1	41	40	0	Term22
triassic-slow-1	42	40	2269649	
triassic-slow-1	43	42	0	Term20
triassic-slow-1	44	42	0	Term21
triassic-slow-1	45	37	92250567	
triassic-slow-1	46	45	30467067	
triassic-slow-1	47	46	0	Term31
triassic-slow-1	48	46	0	Term32
triassic-slow-1	49	45	75287839	
triassic-slow-1	50	49	19801219	
triassic-slow-1	51	50	0	Term29
triassic-slow-1	52	50	0	Term30
triassic-slow-1	53	49	68707896	
triassic-slow-1	54	53	10432547	
triassic-slow-1	55	54	0	Term27
triassic-slow-1	56	54	0	Term28
triassic-slow-1	57	53	65549150	
triassic-slow-1	58	57	0	Term26
triassic-slow-1	59	57	37208977	
triassic-slow-1	60	59	0	Term24
triassic-slow-1	61	59	0	Term25
triassic-slow-1	62	32	155498419	
triassic-slow-1	63	62	82420019	
triassic-slow-1	64	63	0	Term0
triassic-slow-1	65	63	34975802	
triassic-slow-1	66	65	23870343	
triassic-slow-1	67	66	0	Term3
triassic-slow-1	68	66	0	Term4
triassic-slow-1	69	65	1016061	
triassic-slow-1	70	69	0	Term1
triassic-slow-1	71	69	0	Term2
triassic-slow-1	72	62	107913225	
triassic-slow-1	73	72	52867352	
triassic-slow-1	74	73	0	Term11
triassic-slow-1	75	73	47652154	
triassic-slow-1	76	75	40202007	
triassic-slow-1	77	76	0	Term5
triassic-slow-1	78	76	0	Term6
triassic-slow-1	79	75	45415170	
triassic-slow-1	80	79	22902453	
triassic-slow-1	81	80	0	Term7
triassic-slow-1	82	80	0	Term8
triassic-slow-1	83	79	9031645	
triassic-slow-1	84	83	0	Term10
triassic-slow-1	85	83	0	Term9
triassic-slow-1	86	72	45552499	
triassic-slow-1	87	86	32799348	
triassic-slow-1	88	87	0	Term19
triassic-slow-1	89	87	28421985	
triassic-slow-1	90	89	0	Term17
triassic-slow-1	91	89	0	Term18
triassic-slow-1	92	86	16029490	
triassic-slow-1	93	92	9472314	
triassic-slow-1	94	93	0	Term12
triassic-slow-1	95	93	0	Term13
triassic-slow-1	96	92	12060711	
triassic-slow-1	97	96	0	Term14
triassic-slow-1	98	96	8308051	
triassic-slow-1	99	98	0	Term15
triassic-slow-1	100	98	0	Term16
triassic-slow-10	0	-1	240864472	
triassic-slow-10	1	0	153625589	
triassic-slow-10	2	1	94033731	
triassic-slow-10	3	2	20928555	
triassic-slow-10	4	3	0	Term3
triassic-slow-10	5	3	8773444	
triassic-slow-10	6	5	0	Term2
triassic-slow-10	7	5	3086765	
triassic-slow-10	8	7	0	Term0
triassic-slow-10	9	7	0	Term1
triassic-slow-10	10	2	69128200	
triassic-slow-10	11	10	19845302	
triassic-slow-10	12	11	0	Term4
triassic-slow-10	13	11	0	Term5
triassic-slow-10	14	10	14562476	
triassic-slow-10	15	14	0	Term9
triassic-slow-10	16	14	13908446	
triassic-slow-10	17	16	0	Term6
triassic-slow-10	18	16	4992538	
triassic-slow-10	19	18	0	Term7
triassic-slow-10	20	18	0	Term8
triassic-slow-10	21	1	113106410	
triassic-slow-10	22	21	0	Term23
triassic-slow-10	23	21	77829411	
triassic-slow-10	24	23	56681764	
triassic-slow-10	25	24	11163856	
triassic-slow-10	26	25	0	Term17
triassic-slow-10	27	25	0	Term18
triassic-slow-10	28	24	35371624	
triassic-slow-10	29	28	27266836	
triassic-slow-10	30	29	0	Term21
triassic-slow-10	31	29	0	Term22
triassic-slow-10	32	28	5684400	
triassic-slow-10	33	32	0	Term19
triassic-slow-10	34	32	0	Term20
triassic-slow-10	35	23	37172254	
triassic-slow-10	36	35	18500575	
triassic-slow-10	37	36	0	Term15
triassic-slow-10	38	36	0	Term16
triassic-slow-10	39	35	27668641	
triassic-slow-10	40	39	24158794	
triassic-slow-10	41	40	0	Term13
triassic-slow-10	42	40	0	Term14
triassic-slow-10	43	39	20046867	
triassic-slow-10	44	43	0	Term12
triassic-slow-10	45	43	6868732	
triassic-slow-10	46	45	0	Term10
triassic-slow-10	47	45	0	Term11
triassic-slow-10	48	0	238304119	
triassic-slow-10	49	48	194201123	
