# simulated lambda of project "project.tab"
# date: 2024-05-20T21:56:38-03:00
tree	lambda
triassic-avg-0	80.470945
triassic-avg-1	65.868833
triassic-avg-10	29.189599
triassic-avg-11	38.894761
triassic-avg-12	84.192995
triassic-avg-13	74.094572
triassic-avg-14	88.516547
triassic-avg-15	49.857262
triassic-avg-16	81.100109
triassic-avg-17	53.516977
triassic-avg-18	57.064780
triassic-avg-19	85.557345
triassic-avg-2	17.520372
triassic-avg-20	39.330266
triassic-avg-21	27.397773
triassic-avg-22	45.397470
triassic-avg-23	43.465351
triassic-avg-24	49.993927
triassic-avg-25	85.798841
triassic-avg-26	15.171603
triassic-avg-27	12.517985
triassic-avg-28	76.506600
triassic-avg-29	52.798327
triassic-avg-3	69.214721
triassic-avg-30	10.228608
triassic-avg-31	99.588747
triassic-avg-32	33.239734
triassic-avg-33	89.782825
triassic-avg-34	65.707984
triassic-avg-35	88.010388
triassic-avg-36	44.773376
triassic-avg-37	94.055670
triassic-avg-38	68.994022
triassic-avg-39	99.396812
triassic-avg-4	37.597821
triassic-avg-40	86.504156
triassic-avg-41	43.489149
triassic-avg-42	13.814612
triassic-avg-43	12.497343
triassic-avg-44	70.050428
triassic-avg-45	60.816581
triassic-avg-46	22.809794
triassic-avg-47	84.986242
triassic-avg-48	37.538688
triassic-avg-49	88.027169
triassic-avg-5	27.404083
triassic-avg-6	30.764884
triassic-avg-7	93.932060
triassic-avg-8	49.228076
triassic-avg-9	59.764748
