# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:56:38-03:00
tree	node	parent	age	taxon
triassic-avg-0	0	-1	245506555	
triassic-avg-0	1	0	156879379	
triassic-avg-0	2	1	18705543	
triassic-avg-0	3	2	0	Term57
triassic-avg-0	4	2	0	Term58
triassic-avg-0	5	1	129266172	
triassic-avg-0	6	5	42590620	
triassic-avg-0	7	6	0	Term63
triassic-avg-0	8	6	26245338	
triassic-avg-0	9	8	0	Term59
triassic-avg-0	10	8	22308543	
triassic-avg-0	11	10	0	Term60
triassic-avg-0	12	10	1810597	
triassic-avg-0	13	12	0	Term61
triassic-avg-0	14	12	0	Term62
triassic-avg-0	15	5	112111798	
triassic-avg-0	16	15	79206850	
triassic-avg-0	17	16	14227566	
triassic-avg-0	18	17	0	Term67
triassic-avg-0	19	17	0	Term68
triassic-avg-0	20	16	70655341	
triassic-avg-0	21	20	0	Term64
triassic-avg-0	22	20	17000981	
triassic-avg-0	23	22	0	Term65
triassic-avg-0	24	22	0	Term66
triassic-avg-0	25	15	99031860	
triassic-avg-0	26	25	20748591	
triassic-avg-0	27	26	7866563	
triassic-avg-0	28	27	0	Term77
triassic-avg-0	29	27	0	Term78
triassic-avg-0	30	26	3978499	
triassic-avg-0	31	30	0	Term75
triassic-avg-0	32	30	0	Term76
triassic-avg-0	33	25	44545392	
triassic-avg-0	34	33	38454531	
triassic-avg-0	35	34	0	Term69
triassic-avg-0	36	34	0	Term70
triassic-avg-0	37	33	29969752	
triassic-avg-0	38	37	0	Term71
triassic-avg-0	39	37	26731692	
triassic-avg-0	40	39	0	Term74
triassic-avg-0	41	39	6480151	
triassic-avg-0	42	41	0	Term72
triassic-avg-0	43	41	0	Term73
triassic-avg-0	44	0	226680485	
triassic-avg-0	45	44	0	Term0
triassic-avg-0	46	44	193411329	
triassic-avg-0	47	46	154985384	
triassic-avg-0	48	47	37664974	
triassic-avg-0	49	48	0	Term55
triassic-avg-0	50	48	0	Term56
triassic-avg-0	51	47	151141249	
triassic-avg-0	52	51	104528849	
triassic-avg-0	53	52	0	Term53
triassic-avg-0	54	52	0	Term54
triassic-avg-0	55	51	149856666	
triassic-avg-0	56	55	0	Term52
triassic-avg-0	57	55	134418467	
triassic-avg-0	58	57	122214873	
triassic-avg-0	59	58	0	Term44
triassic-avg-0	60	58	9427930	
triassic-avg-0	61	60	0	Term42
triassic-avg-0	62	60	0	Term43
triassic-avg-0	63	57	114199551	
triassic-avg-0	64	63	18112519	
triassic-avg-0	65	64	0	Term45
triassic-avg-0	66	64	0	Term46
triassic-avg-0	67	63	34958316	
triassic-avg-0	68	67	4274745	
triassic-avg-0	69	68	0	Term47
triassic-avg-0	70	68	0	Term48
triassic-avg-0	71	67	16575501	
triassic-avg-0	72	71	0	Term51
triassic-avg-0	73	71	4966440	
triassic-avg-0	74	73	0	Term49
triassic-avg-0	75	73	0	Term50
triassic-avg-0	76	46	176620144	
triassic-avg-0	77	76	78438668	
triassic-avg-0	78	77	62388672	
triassic-avg-0	79	78	0	Term8
triassic-avg-0	80	78	0	Term9
triassic-avg-0	81	77	73441061	
triassic-avg-0	82	81	32431718	
triassic-avg-0	83	82	0	Term7
triassic-avg-0	84	82	15920226	
triassic-avg-0	85	84	0	Term5
triassic-avg-0	86	84	0	Term6
triassic-avg-0	87	81	70391922	
triassic-avg-0	88	87	0	Term4
triassic-avg-0	89	87	5947744	
triassic-avg-0	90	89	0	Term1
triassic-avg-0	91	89	639350	
triassic-avg-0	92	91	0	Term2
triassic-avg-0	93	91	0	Term3
triassic-avg-0	94	76	128433261	
triassic-avg-0	95	94	83500352	
triassic-avg-0	96	95	0	Term41
triassic-avg-0	97	95	53574332	
triassic-avg-0	98	97	0	Term33
triassic-avg-0	99	97	44956645	
triassic-avg-0	100	99	7086389	
triassic-avg-0	101	100	0	Term39
triassic-avg-0	102	100	0	Term40
triassic-avg-0	103	99	39597767	
triassic-avg-0	104	103	0	Term34
triassic-avg-0	105	103	26535124	
triassic-avg-0	106	105	0	Term35
triassic-avg-0	107	105	20289992	
triassic-avg-0	108	107	0	Term38
triassic-avg-0	109	107	5280526	
triassic-avg-0	110	109	0	Term36
triassic-avg-0	111	109	0	Term37
triassic-avg-0	112	94	115329692	
triassic-avg-0	113	112	78106393	
triassic-avg-0	114	113	0	Term32
triassic-avg-0	115	113	21901253	
triassic-avg-0	116	115	0	Term29
triassic-avg-0	117	115	7887090	
triassic-avg-0	118	117	0	Term30
triassic-avg-0	119	117	0	Term31
triassic-avg-0	120	112	93594027	
triassic-avg-0	121	120	86062058	
triassic-avg-0	122	121	55321059	
triassic-avg-0	123	122	0	Term10
triassic-avg-0	124	122	0	Term11
triassic-avg-0	125	121	25750216	
triassic-avg-0	126	125	0	Term12
triassic-avg-0	127	125	19521268	
triassic-avg-0	128	127	0	Term13
triassic-avg-0	129	127	0	Term14
triassic-avg-0	130	120	76466877	
triassic-avg-0	131	130	50494366	
triassic-avg-0	132	131	0	Term15
triassic-avg-0	133	131	46670468	
triassic-avg-0	134	133	33032133	
triassic-avg-0	135	134	0	Term16
triassic-avg-0	136	134	0	Term17
triassic-avg-0	137	133	7684315	
triassic-avg-0	138	137	0	Term18
triassic-avg-0	139	137	0	Term19
triassic-avg-0	140	130	63518952	
triassic-avg-0	141	140	14043085	
triassic-avg-0	142	141	0	Term27
triassic-avg-0	143	141	0	Term28
triassic-avg-0	144	140	46966974	
triassic-avg-0	145	144	29258022	
triassic-avg-0	146	145	0	Term22
triassic-avg-0	147	145	8000795	
triassic-avg-0	148	147	0	Term20
triassic-avg-0	149	147	0	Term21
triassic-avg-0	150	144	6187647	
triassic-avg-0	151	150	0	Term26
triassic-avg-0	152	150	4830649	
triassic-avg-0	153	152	0	Term23
triassic-avg-0	154	152	448152	
triassic-avg-0	155	154	0	Term24
triassic-avg-0	156	154	0	Term25
triassic-avg-1	0	-1	217428736	
triassic-avg-1	1	0	46986483	
triassic-avg-1	2	1	0	Term2
triassic-avg-1	3	1	44004349	
triassic-avg-1	4	3	0	Term0
triassic-avg-1	5	3	0	Term1
triassic-avg-1	6	0	195062120	
triassic-avg-1	7	6	152884539	
triassic-avg-1	8	7	46479836	
triassic-avg-1	9	8	40118453	
triassic-avg-1	10	9	0	Term58
triassic-avg-1	11	9	0	Term59
triassic-avg-1	12	8	22445776	
triassic-avg-1	13	12	19010484	
triassic-avg-1	14	13	0	Term60
triassic-avg-1	15	13	0	Term61
triassic-avg-1	16	12	11514850	
triassic-avg-1	17	16	0	Term62
triassic-avg-1	18	16	0	Term63
triassic-avg-1	19	7	36357127	
triassic-avg-1	20	19	34158803	
triassic-avg-1	21	20	0	Term55
triassic-avg-1	22	20	18822332	
triassic-avg-1	23	22	0	Term56
triassic-avg-1	24	22	0	Term57
triassic-avg-1	25	19	31928175	
triassic-avg-1	26	25	28604075	
triassic-avg-1	27	26	0	Term48
triassic-avg-1	28	26	21273736	
triassic-avg-1	29	28	0	Term49
triassic-avg-1	30	28	0	Term50
triassic-avg-1	31	25	18187871	
triassic-avg-1	32	31	10239669	
triassic-avg-1	33	32	0	Term51
triassic-avg-1	34	32	0	Term52
triassic-avg-1	35	31	2710410	
triassic-avg-1	36	35	0	Term53
triassic-avg-1	37	35	0	Term54
triassic-avg-1	38	6	155112212	
triassic-avg-1	39	38	99256542	
triassic-avg-1	40	39	87760810	
triassic-avg-1	41	40	57301911	
triassic-avg-1	42	41	0	Term37
triassic-avg-1	43	41	46616992	
triassic-avg-1	44	43	0	Term35
triassic-avg-1	45	43	0	Term36
triassic-avg-1	46	40	53186097	
triassic-avg-1	47	46	0	Term34
triassic-avg-1	48	46	52294349	
triassic-avg-1	49	48	0	Term28
triassic-avg-1	50	48	39259980	
triassic-avg-1	51	50	18030114	
triassic-avg-1	52	51	0	Term29
triassic-avg-1	53	51	0	Term30
triassic-avg-1	54	50	36683058	
triassic-avg-1	55	54	0	Term31
triassic-avg-1	56	54	25786687	
triassic-avg-1	57	56	0	Term32
triassic-avg-1	58	56	0	Term33
triassic-avg-1	59	39	63360647	
triassic-avg-1	60	59	1841011	
triassic-avg-1	61	60	0	Term46
triassic-avg-1	62	60	0	Term47
triassic-avg-1	63	59	45608746	
triassic-avg-1	64	63	15239294	
triassic-avg-1	65	64	0	Term45
triassic-avg-1	66	64	11404787	
triassic-avg-1	67	66	0	Term43
triassic-avg-1	68	66	0	Term44
triassic-avg-1	69	63	43925996	
triassic-avg-1	70	69	0	Term38
triassic-avg-1	71	69	38551819	
triassic-avg-1	72	71	9403732	
triassic-avg-1	73	72	0	Term39
triassic-avg-1	74	72	0	Term40
triassic-avg-1	75	71	4129088	
triassic-avg-1	76	75	0	Term41
triassic-avg-1	77	75	0	Term42
triassic-avg-1	78	38	150998035	
triassic-avg-1	79	78	66054211	
triassic-avg-1	80	79	64762176	
triassic-avg-1	81	80	0	Term19
triassic-avg-1	82	80	14876973	
triassic-avg-1	83	82	0	Term20
triassic-avg-1	84	82	0	Term21
triassic-avg-1	85	79	37086607	
triassic-avg-1	86	85	24685093	
triassic-avg-1	87	86	0	Term24
triassic-avg-1	88	86	6318781	
triassic-avg-1	89	88	0	Term22
triassic-avg-1	90	88	0	Term23
triassic-avg-1	91	85	11279147	
triassic-avg-1	92	91	0	Term25
triassic-avg-1	93	91	7091683	
triassic-avg-1	94	93	0	Term26
triassic-avg-1	95	93	0	Term27
triassic-avg-1	96	78	129909400	
triassic-avg-1	97	96	0	Term18
triassic-avg-1	98	96	122324782	
triassic-avg-1	99	98	65954291	
triassic-avg-1	100	99	41467997	
triassic-avg-1	101	100	0	Term14
triassic-avg-1	102	100	0	Term15
triassic-avg-1	103	99	34053846	
triassic-avg-1	104	103	0	Term16
triassic-avg-1	105	103	0	Term17
triassic-avg-1	106	98	92389079	
triassic-avg-1	107	106	42927620	
triassic-avg-1	108	107	0	Term11
triassic-avg-1	109	107	11236409	
triassic-avg-1	110	109	0	Term12
triassic-avg-1	111	109	0	Term13
triassic-avg-1	112	106	79998068	
triassic-avg-1	113	112	78911939	
triassic-avg-1	114	113	0	Term6
triassic-avg-1	115	113	29242283	
triassic-avg-1	116	115	0	Term3
triassic-avg-1	117	115	15306512	
triassic-avg-1	118	117	0	Term4
triassic-avg-1	119	117	0	Term5
triassic-avg-1	120	112	24677641	
triassic-avg-1	121	120	0	Term10
triassic-avg-1	122	120	22766520	
triassic-avg-1	123	122	0	Term7
triassic-avg-1	124	122	1094304	
triassic-avg-1	125	124	0	Term8
triassic-avg-1	126	124	0	Term9
triassic-avg-10	0	-1	227007316	
triassic-avg-10	1	0	214482938	
triassic-avg-10	2	1	206175804	
triassic-avg-10	3	2	0	Term2
triassic-avg-10	4	2	49815910	
triassic-avg-10	5	4	0	Term0
triassic-avg-10	6	4	0	Term1
triassic-avg-10	7	1	209731185	
triassic-avg-10	8	7	190991148	
triassic-avg-10	9	8	98393778	
triassic-avg-10	10	9	17149347	
triassic-avg-10	11	10	0	Term16
triassic-avg-10	12	10	0	Term17
triassic-avg-10	13	9	1668978	
triassic-avg-10	14	13	0	Term14
triassic-avg-10	15	13	0	Term15
triassic-avg-10	16	8	78982811	
triassic-avg-10	17	16	56812623	
triassic-avg-10	18	17	0	Term12
triassic-avg-10	19	17	0	Term13
triassic-avg-10	20	16	69366746	
triassic-avg-10	21	20	20521748	
triassic-avg-10	22	21	18476303	
triassic-avg-10	23	22	0	Term3
triassic-avg-10	24	22	0	Term4
triassic-avg-10	25	21	9510490	
triassic-avg-10	26	25	0	Term5
triassic-avg-10	27	25	0	Term6
triassic-avg-10	28	20	65702026	
triassic-avg-10	29	28	12559457	
triassic-avg-10	30	29	0	Term7
triassic-avg-10	31	29	0	Term8
triassic-avg-10	32	28	41901897	
triassic-avg-10	33	32	0	Term11
triassic-avg-10	34	32	20375528	
triassic-avg-10	35	34	0	Term10
triassic-avg-10	36	34	0	Term9
triassic-avg-10	37	7	197713640	
triassic-avg-10	38	37	89740989	
triassic-avg-10	39	38	0	Term18
triassic-avg-10	40	38	0	Term19
triassic-avg-10	41	37	175465170	
triassic-avg-10	42	41	132523351	
triassic-avg-10	43	42	0	Term26
triassic-avg-10	44	42	84411735	
triassic-avg-10	45	44	3855959	
triassic-avg-10	46	45	0	Term20
triassic-avg-10	47	45	0	Term21
triassic-avg-10	48	44	55126216	
triassic-avg-10	49	48	25977516	
triassic-avg-10	50	49	0	Term24
triassic-avg-10	51	49	0	Term25
triassic-avg-10	52	48	5707637	
triassic-avg-10	53	52	0	Term22
triassic-avg-10	54	52	0	Term23
triassic-avg-10	55	41	81909244	
triassic-avg-10	56	55	39969863	
triassic-avg-10	57	56	0	Term32
triassic-avg-10	58	56	23538623	
triassic-avg-10	59	58	8742415	
triassic-avg-10	60	59	0	Term27
triassic-avg-10	61	59	0	Term28
triassic-avg-10	62	58	15246410	
triassic-avg-10	63	62	0	Term31
triassic-avg-10	64	62	11143032	
triassic-avg-10	65	64	0	Term29
triassic-avg-10	66	64	0	Term30
triassic-avg-10	67	55	50662120	
triassic-avg-10	68	67	0	Term33
triassic-avg-10	69	67	35881784	
triassic-avg-10	70	69	32057596	
triassic-avg-10	71	70	0	Term37
triassic-avg-10	72	70	4284575	
triassic-avg-10	73	72	0	Term38
triassic-avg-10	74	72	0	Term39
