# simulated lambda of project "project.tab"
# date: 2024-05-20T21:58:08-03:00
tree	lambda
triassic-fast-0	4.917840
triassic-fast-1	8.551366
triassic-fast-10	5.416373
triassic-fast-11	2.334021
triassic-fast-12	2.721517
triassic-fast-13	8.297519
triassic-fast-14	2.407949
triassic-fast-15	8.643692
triassic-fast-16	4.314656
triassic-fast-17	9.776017
triassic-fast-18	5.755298
triassic-fast-19	2.168185
triassic-fast-2	7.789600
triassic-fast-20	3.822847
triassic-fast-21	9.852800
triassic-fast-22	5.914312
triassic-fast-23	2.645381
triassic-fast-24	4.638679
triassic-fast-25	1.968995
triassic-fast-26	4.311121
triassic-fast-27	8.982905
triassic-fast-28	2.906167
triassic-fast-29	2.711957
triassic-fast-3	3.089388
triassic-fast-30	3.063831
triassic-fast-31	9.317552
triassic-fast-32	8.654877
triassic-fast-33	1.850012
triassic-fast-34	9.191648
triassic-fast-35	9.458544
triassic-fast-36	2.432091
triassic-fast-37	8.412895
triassic-fast-38	8.912971
triassic-fast-39	1.251780
triassic-fast-4	8.100273
triassic-fast-40	8.858974
triassic-fast-41	9.796103
triassic-fast-42	4.977937
triassic-fast-43	3.688088
triassic-fast-44	6.126618
triassic-fast-45	4.900849
triassic-fast-46	6.888894
triassic-fast-47	6.403227
triassic-fast-48	1.205124
triassic-fast-49	3.660871
triassic-fast-5	1.844076
triassic-fast-6	9.297116
triassic-fast-7	4.417020
triassic-fast-8	9.431358
triassic-fast-9	5.370341
