# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:58:08-03:00
tree	node	parent	age	taxon
triassic-fast-0	0	-1	206814894	
triassic-fast-0	1	0	149401368	
triassic-fast-0	2	1	92802012	
triassic-fast-0	3	2	15443324	
triassic-fast-0	4	3	0	Term24
triassic-fast-0	5	3	0	Term25
triassic-fast-0	6	2	7085665	
triassic-fast-0	7	6	0	Term22
triassic-fast-0	8	6	0	Term23
triassic-fast-0	9	1	112240602	
triassic-fast-0	10	9	54621080	
triassic-fast-0	11	10	0	Term0
triassic-fast-0	12	10	41222889	
triassic-fast-0	13	12	0	Term1
triassic-fast-0	14	12	0	Term2
triassic-fast-0	15	9	108428489	
triassic-fast-0	16	15	37831372	
triassic-fast-0	17	16	0	Term3
triassic-fast-0	18	16	21840897	
triassic-fast-0	19	18	7340621	
triassic-fast-0	20	19	0	Term6
triassic-fast-0	21	19	0	Term7
triassic-fast-0	22	18	2049124	
triassic-fast-0	23	22	0	Term4
triassic-fast-0	24	22	0	Term5
triassic-fast-0	25	15	102786903	
triassic-fast-0	26	25	20976372	
triassic-fast-0	27	26	0	Term10
triassic-fast-0	28	26	3311333	
triassic-fast-0	29	28	0	Term8
triassic-fast-0	30	28	0	Term9
triassic-fast-0	31	25	98640845	
triassic-fast-0	32	31	0	Term11
triassic-fast-0	33	31	88577507	
triassic-fast-0	34	33	38522839	
triassic-fast-0	35	34	0	Term12
triassic-fast-0	36	34	6296002	
triassic-fast-0	37	36	0	Term13
triassic-fast-0	38	36	0	Term14
triassic-fast-0	39	33	32204413	
triassic-fast-0	40	39	32129117	
triassic-fast-0	41	40	0	Term15
triassic-fast-0	42	40	5985098	
triassic-fast-0	43	42	0	Term16
triassic-fast-0	44	42	0	Term17
triassic-fast-0	45	39	21799618	
triassic-fast-0	46	45	0	Term21
triassic-fast-0	47	45	8059242	
triassic-fast-0	48	47	0	Term20
triassic-fast-0	49	47	972189	
triassic-fast-0	50	49	0	Term18
triassic-fast-0	51	49	0	Term19
triassic-fast-0	52	0	185818320	
triassic-fast-0	53	52	0	Term53
triassic-fast-0	54	52	143854445	
triassic-fast-0	55	54	28238608	
triassic-fast-0	56	55	0	Term51
triassic-fast-0	57	55	0	Term52
triassic-fast-0	58	54	94688939	
triassic-fast-0	59	58	11167188	
triassic-fast-0	60	59	0	Term47
triassic-fast-0	61	59	10944122	
triassic-fast-0	62	61	0	Term50
triassic-fast-0	63	61	10488363	
triassic-fast-0	64	63	0	Term48
triassic-fast-0	65	63	0	Term49
triassic-fast-0	66	58	92698135	
triassic-fast-0	67	66	34076235	
triassic-fast-0	68	67	6437310	
triassic-fast-0	69	68	0	Term26
triassic-fast-0	70	68	0	Term27
triassic-fast-0	71	67	1177373	
triassic-fast-0	72	71	0	Term28
triassic-fast-0	73	71	0	Term29
triassic-fast-0	74	66	65312641	
triassic-fast-0	75	74	37332485	
triassic-fast-0	76	75	0	Term45
triassic-fast-0	77	75	0	Term46
triassic-fast-0	78	74	63074213	
triassic-fast-0	79	78	40474341	
triassic-fast-0	80	79	0	Term32
triassic-fast-0	81	79	8100164	
triassic-fast-0	82	81	0	Term30
triassic-fast-0	83	81	0	Term31
triassic-fast-0	84	78	59453610	
triassic-fast-0	85	84	50228335	
triassic-fast-0	86	85	0	Term33
triassic-fast-0	87	85	417759	
triassic-fast-0	88	87	0	Term34
triassic-fast-0	89	87	0	Term35
triassic-fast-0	90	84	57520928	
triassic-fast-0	91	90	38424018	
triassic-fast-0	92	91	0	Term36
triassic-fast-0	93	91	752915	
triassic-fast-0	94	93	0	Term37
triassic-fast-0	95	93	0	Term38
triassic-fast-0	96	90	55644757	
triassic-fast-0	97	96	46454411	
triassic-fast-0	98	97	0	Term44
triassic-fast-0	99	97	25001370	
triassic-fast-0	100	99	0	Term42
triassic-fast-0	101	99	0	Term43
triassic-fast-0	102	96	18211255	
triassic-fast-0	103	102	0	Term41
triassic-fast-0	104	102	11978590	
triassic-fast-0	105	104	0	Term39
triassic-fast-0	106	104	0	Term40
triassic-fast-1	0	-1	238043592	
triassic-fast-1	1	0	202427560	
triassic-fast-1	2	1	14436300	
triassic-fast-1	3	2	0	Term0
triassic-fast-1	4	2	0	Term1
triassic-fast-1	5	1	56902548	
triassic-fast-1	6	5	44944850	
triassic-fast-1	7	6	0	Term5
triassic-fast-1	8	6	0	Term6
triassic-fast-1	9	5	39544905	
triassic-fast-1	10	9	0	Term4
triassic-fast-1	11	9	37422842	
triassic-fast-1	12	11	0	Term2
triassic-fast-1	13	11	0	Term3
triassic-fast-1	14	0	230824374	
triassic-fast-1	15	14	165960968	
triassic-fast-1	16	15	130419872	
triassic-fast-1	17	16	0	Term73
triassic-fast-1	18	16	101834707	
triassic-fast-1	19	18	0	Term74
triassic-fast-1	20	18	0	Term75
triassic-fast-1	21	15	97156070	
triassic-fast-1	22	21	63911231	
triassic-fast-1	23	22	24313734	
triassic-fast-1	24	23	0	Term68
triassic-fast-1	25	23	0	Term69
triassic-fast-1	26	22	56420413	
triassic-fast-1	27	26	0	Term70
triassic-fast-1	28	26	26468827	
triassic-fast-1	29	28	0	Term71
triassic-fast-1	30	28	0	Term72
triassic-fast-1	31	21	52978083	
triassic-fast-1	32	31	44971767	
triassic-fast-1	33	32	0	Term61
triassic-fast-1	34	32	4517246	
triassic-fast-1	35	34	0	Term62
triassic-fast-1	36	34	0	Term63
triassic-fast-1	37	31	49443324	
triassic-fast-1	38	37	31964962	
triassic-fast-1	39	38	0	Term66
triassic-fast-1	40	38	0	Term67
triassic-fast-1	41	37	5321308	
triassic-fast-1	42	41	0	Term64
triassic-fast-1	43	41	0	Term65
triassic-fast-1	44	14	215960486	
triassic-fast-1	45	44	192465603	
triassic-fast-1	46	45	138081383	
triassic-fast-1	47	46	0	Term7
triassic-fast-1	48	46	39600818	
triassic-fast-1	49	48	0	Term8
triassic-fast-1	50	48	0	Term9
triassic-fast-1	51	45	168170357	
triassic-fast-1	52	51	0	Term10
triassic-fast-1	53	51	102098104	
triassic-fast-1	54	53	11811860	
triassic-fast-1	55	54	0	Term11
triassic-fast-1	56	54	3238178	
triassic-fast-1	57	56	0	Term12
triassic-fast-1	58	56	0	Term13
triassic-fast-1	59	53	99755565	
triassic-fast-1	60	59	0	Term14
triassic-fast-1	61	59	25405235	
triassic-fast-1	62	61	0	Term17
triassic-fast-1	63	61	5407988	
triassic-fast-1	64	63	0	Term15
triassic-fast-1	65	63	0	Term16
triassic-fast-1	66	44	212306430	
triassic-fast-1	67	66	131457759	
triassic-fast-1	68	67	70110420	
triassic-fast-1	69	68	0	Term60
triassic-fast-1	70	68	6811183	
triassic-fast-1	71	70	0	Term57
triassic-fast-1	72	70	6134831	
triassic-fast-1	73	72	0	Term58
triassic-fast-1	74	72	0	Term59
triassic-fast-1	75	67	120446063	
triassic-fast-1	76	75	47973973	
triassic-fast-1	77	76	0	Term51
triassic-fast-1	78	76	0	Term52
triassic-fast-1	79	75	76037917	
triassic-fast-1	80	79	0	Term56
triassic-fast-1	81	79	70923543	
triassic-fast-1	82	81	0	Term55
triassic-fast-1	83	81	47294746	
triassic-fast-1	84	83	0	Term53
triassic-fast-1	85	83	0	Term54
triassic-fast-1	86	66	194332786	
triassic-fast-1	87	86	82514852	
triassic-fast-1	88	87	75089552	
triassic-fast-1	89	88	0	Term21
triassic-fast-1	90	88	13771445	
triassic-fast-1	91	90	0	Term22
triassic-fast-1	92	90	0	Term23
triassic-fast-1	93	87	44806560	
triassic-fast-1	94	93	0	Term20
triassic-fast-1	95	93	22493577	
triassic-fast-1	96	95	0	Term18
triassic-fast-1	97	95	0	Term19
triassic-fast-1	98	86	173020530	
triassic-fast-1	99	98	41124917	
triassic-fast-1	100	99	0	Term50
