# results from simulated data from project "project.tab"
# date: 2024-05-21T19:40:00-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-slow-0	76	215.509	275.628245	363.183594
triassic-slow-1	51	241.208	388.453764	626.367188
triassic-slow-10	97	240.864	327.476630	334.375000
triassic-slow-11	92	230.365	351.638599	511.132812
triassic-slow-12	91	249.419	584.846780	860.253906
triassic-slow-13	50	232.522	393.790132	492.089844
triassic-slow-14	58	202.951	222.629377	290.429688
triassic-slow-15	52	211.319	160.269534	167.871094
triassic-slow-16	94	217.491	918.463948	1370.507812
triassic-slow-17	58	213.349	691.477381	1740.625000
triassic-slow-18	76	240.969	134.429130	236.230469
triassic-slow-19	96	201.674	647.796659	932.519531
triassic-slow-2	73	231.837	527.483076	845.605469
triassic-slow-20	62	220.700	222.410101	314.843750
triassic-slow-21	66	222.390	369.692414	561.914062
triassic-slow-22	86	242.354	500.661720	799.707031
triassic-slow-23	93	209.869	906.579449	1410.058594
triassic-slow-24	86	244.517	858.398555	1750.878906
triassic-slow-25	95	250.967	979.895883	1193.750000
triassic-slow-26	92	245.286	111.993241	117.578125
triassic-slow-27	53	202.239	650.784335	1053.125000
triassic-slow-28	84	223.970	555.753451	937.890625
triassic-slow-29	71	217.807	706.573006	1344.140625
triassic-slow-3	52	209.500	453.118099	945.214844
triassic-slow-30	50	229.952	126.843377	160.058594
triassic-slow-31	69	203.193	871.130929	1113.671875
triassic-slow-32	73	218.551	832.202558	1384.179688
triassic-slow-33	85	245.698	329.950501	467.675781
triassic-slow-34	89	225.412	760.716431	1284.082031
triassic-slow-35	100	202.770	593.015286	665.429688
triassic-slow-36	63	215.640	968.766974	1654.199219
triassic-slow-37	70	202.876	600.284375	892.968750
triassic-slow-38	59	224.670	159.709227	256.738281
triassic-slow-39	72	224.495	815.520154	1322.656250
triassic-slow-4	94	215.300	360.180718	437.402344
triassic-slow-40	50	249.998	330.162361	544.335938
triassic-slow-41	82	209.077	653.202157	1645.410156
triassic-slow-42	66	251.771	126.519348	171.289062
triassic-slow-43	75	237.427	684.664692	1543.847656
triassic-slow-44	84	238.945	289.165443	398.339844
triassic-slow-45	69	248.070	244.697841	316.796875
triassic-slow-46	54	224.728	669.070899	982.812500
triassic-slow-47	54	244.740	841.376769	1079.492188
triassic-slow-48	61	209.809	365.297489	543.847656
triassic-slow-49	82	222.745	800.419679	1375.390625
triassic-slow-5	94	251.483	589.113404	730.371094
triassic-slow-6	99	209.286	978.263218	1915.917969
triassic-slow-7	83	202.252	417.314963	510.644531
triassic-slow-8	93	210.659	630.174553	843.164062
triassic-slow-9	68	205.445	487.166805	618.066406
