# simulated lambda of project "project.tab"
# date: 2024-05-20T21:55:09-03:00
tree	lambda
triassic-slow-0	275.628245
triassic-slow-1	388.453764
triassic-slow-10	327.476630
triassic-slow-11	351.638599
triassic-slow-12	584.846780
triassic-slow-13	393.790132
triassic-slow-14	222.629377
triassic-slow-15	160.269534
triassic-slow-16	918.463948
triassic-slow-17	691.477381
triassic-slow-18	134.429130
triassic-slow-19	647.796659
triassic-slow-2	527.483076
triassic-slow-20	222.410101
triassic-slow-21	369.692414
triassic-slow-22	500.661720
triassic-slow-23	906.579449
triassic-slow-24	858.398555
triassic-slow-25	979.895883
triassic-slow-26	111.993241
triassic-slow-27	650.784335
triassic-slow-28	555.753451
triassic-slow-29	706.573006
triassic-slow-3	453.118099
triassic-slow-30	126.843377
triassic-slow-31	871.130929
triassic-slow-32	832.202558
triassic-slow-33	329.950501
triassic-slow-34	760.716431
triassic-slow-35	593.015286
triassic-slow-36	968.766974
triassic-slow-37	600.284375
triassic-slow-38	159.709227
triassic-slow-39	815.520154
triassic-slow-4	360.180718
triassic-slow-40	330.162361
triassic-slow-41	653.202157
triassic-slow-42	126.519348
triassic-slow-43	684.664692
triassic-slow-44	289.165443
triassic-slow-45	244.697841
triassic-slow-46	669.070899
triassic-slow-47	841.376769
triassic-slow-48	365.297489
triassic-slow-49	800.419679
triassic-slow-5	589.113404
triassic-slow-6	978.263218
triassic-slow-7	417.314963
triassic-slow-8	630.174553
triassic-slow-9	487.166805
